Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.0001	32	2	0.2	1	0	100.log	2.2446	0.7495	0.7431	2.2397	0.6162	0.6973
18	H0E1S0	0.01	16	2	0.2	0	0	100.log	4.0398	0.4842	0.5784	3.9844	0.4943	0.4843
132	H0E1S0	0.01	16	3	0.2	1	0	100.log	2.2533	0.7500	0.8333	2.2537	0.4800	0.6302
99	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.2538	1.0000	1.0000	2.2538	0.6667	0.8333
115	H0E1S0	0.01	32	2	0.2	1	0	100.log	2.6349	0.8889	0.9167	1.7419	0.6939	0.7228
67	H0E1S0	0.001	64	2	0.2	1	0	100.log	2.2376	0.6191	0.6730	2.2307	0.6521	0.6037
182	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2538	0.4444	0.5556
221	H0E1S0	0.01	64	4	0.2	0	0	100.log	2.2538	1.0000	1.0000	2.2538	0.4444	0.5556
225	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2294	0.5461	0.6273	2.0657	0.5405	0.5443
77	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.4212	0.5764	0.6072	2.1705	0.5968	0.5675
235	H0E1S0	0.01	64	4	0.1	1	0	100.log	2.2535	1.0000	1.0000	2.2535	0.6000	0.5783
83	H0E1S0	0.0001	64	3	0.1	0	0	100.log	2.2538	0.6612	0.6258	2.2538	0.7335	0.6528
146	H0E1S0	0.001	16	3	0.1	1	0	100.log	0.8761	1.0000	1.0000	4.0420	0.5204	0.5436
206	H0E1S0	0.01	32	3	0.1	1	0	100.log	3.4069	0.3905	0.4856	3.3065	0.4472	0.4890
16	H0E1S0	0.0001	16	2	0.1	1	0	100.log	2.2538	0.7144	0.7490	2.2538	0.6937	0.7021
175	H0E1S0	0.0001	16	3	0.1	1	0	100.log	2.2537	0.6116	0.5582	2.2538	0.4130	0.4275
205	H0E1S0	0.01	64	2	0.1	1	0	100.log	3.7700	0.4920	0.5317	3.7820	0.4366	0.4936
187	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2539	0.6562	0.5929	2.2539	0.2891	0.4036
153	H0E1S0	0.001	64	3	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2539	0.0000	0.4167
185	H0E1S0	0.001	16	4	0.1	0	0	100.log	2.2538	1.0000	1.0000	2.2539	0.0000	0.4167
186	H0E1S0	0.01	32	4	0.1	0	0	100.log	2.2539	0.5346	0.5181	2.2539	0.3466	0.4322
2	H0E1S0	0.01	32	2	0.1	0	0	100.log	2.6422	0.6197	0.6586	2.5861	0.6206	0.6104
4	H0E1S0	0.0001	16	4	0.2	1	0	100.log	2.2538	0.5551	0.5334	2.2538	0.5428	0.5218
44	H0E1S0	0.01	64	2	0.1	1	0	100.log	1.3556	0.7812	0.7055	2.2778	0.5742	0.5227
183	H0E1S0	0.01	16	4	0.2	0	0	100.log	2.2538	0.6635	0.6459	2.2538	0.4588	0.4572
137	H0E1S0	0.01	32	2	0.2	0	0	100.log	1.8943	0.9062	0.8755	1.9417	0.6990	0.6071
51	H0E1S0	0.01	64	2	0.1	0	0	100.log	2.5196	0.5385	0.5136	2.8515	0.4939	0.4717
42	H0E1S0	0.01	32	4	0.1	1	0	100.log	2.2516	0.2975	0.4645	2.2496	0.5517	0.5405
234	H0E1S0	0.01	64	2	0.1	0	0	100.log	1.4528	0.6667	0.6389	1.3327	0.7222	0.7052
107	H0E1S0	0.0001	32	2	0.2	1	0	100.log	2.0927	0.8163	0.8607	2.1706	0.3827	0.4526
118	H0E1S0	0.01	32	3	0.1	0	0	100.log	2.2533	1.0000	1.0000	2.2534	0.8750	0.9167
131	H0E1S0	0.01	64	4	0.2	1	0	100.log	2.2534	0.5212	0.5361	2.2534	0.5425	0.5175
32	H0E1S0	0.001	64	4	0.1	0	0	100.log	2.2274	0.7197	0.7292	2.2546	0.5955	0.5387
210	H0E1S0	0.01	64	3	0.1	1	0	100.log	2.2539	0.6667	0.8333	2.2532	0.3673	0.5397
37	H0E1S0	0.01	64	3	0.1	1	0	100.log	1.6531	0.7689	0.8123	1.8389	0.5411	0.5204
10	H0E1S0	0.0001	16	4	0.1	1	0	100.log	2.2538	0.5996	0.5830	2.2538	0.6180	0.6081
144	H0E1S0	0.0001	32	2	0.2	0	0	100.log	2.2297	0.7513	0.8181	2.2386	0.6395	0.6917
8	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.2537	0.6550	0.6066	2.2537	0.6082	0.5823
57	H0E1S0	0.001	32	3	0.1	1	0	100.log	2.2427	0.6363	0.6351	2.2354	0.5075	0.4889
160	H0E1S0	0.001	64	2	0.1	1	0	100.log	2.2536	0.6433	0.6066	2.2537	0.5342	0.5373
193	H0E1S0	0.01	32	2	0.1	0	0	100.log	3.1173	0.7500	0.8167	2.7059	0.6094	0.6455
199	H0E1S0	0.01	32	4	0.2	1	0	100.log	1.6243	1.0000	1.0000	5.9887	0.4444	0.5556
164	H0E1S0	0.001	16	4	0.1	0	0	100.log	2.2539	0.5859	0.5750	2.2538	0.6152	0.5811
