Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.01	64	2	0.1	1	0	100.log	2.1710	0.5322	0.5128	2.9266	0.5994	0.6372
18	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.2538	0.4938	0.4860	2.2538	0.5088	0.4782
132	H0E1S0	0.001	16	2	0.1	0	0	100.log	1.1727	0.8600	0.8871	3.1582	0.4070	0.4262
99	H0E1S0	0.001	16	2	0.2	1	0	100.log	2.8489	0.7644	0.7109	3.3634	0.7911	0.7322
115	H0E1S0	0.0001	32	2	0.2	0	0	100.log	2.2539	0.7675	0.7466	2.2539	0.6062	0.6074
67	H0E1S0	0.0001	16	4	0.2	0	0	100.log	2.2539	0.5425	0.5253	2.2539	0.5710	0.5448
182	H0E1S0	0.001	64	2	0.2	1	0	100.log	0.9116	0.9300	0.9387	3.8419	0.4422	0.4540
221	H0E1S0	0.001	32	3	0.1	1	0	100.log	2.2538	0.8333	0.8009	2.2539	0.5644	0.5591
225	H0E1S0	0.01	16	4	0.2	0	0	100.log	2.2526	0.7285	0.7249	2.2529	0.5983	0.6554
77	H0E1S0	0.01	32	3	0.2	1	0	100.log	4.8121	0.5289	0.5945	4.7354	0.5571	0.5389
235	H0E1S0	0.0001	32	3	0.2	1	0	100.log	2.2512	0.9000	0.9064	2.2522	0.4331	0.4501
83	H0E1S0	0.0001	64	4	0.2	0	0	100.log	2.2535	0.8600	0.8333	2.2536	0.4354	0.4577
146	H0E1S0	0.0001	16	2	0.1	1	0	100.log	2.2537	0.8350	0.8471	2.2538	0.4422	0.4651
206	H0E1S0	0.0001	16	3	0.2	0	0	100.log	2.2328	0.7688	0.7446	2.2370	0.5744	0.5601
16	H0E1S0	0.01	64	2	0.2	0	0	100.log	2.0371	0.5087	0.6013	2.0900	0.5456	0.5761
