Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.01	64	2	0.1	0	0	100.log	2.6978	0.6748	0.7074	2.6777	0.4556	0.4622
18	H0E1S0	0.001	16	2	0.1	1	0	100.log	3.7037	0.4749	0.6111	3.4388	0.4545	0.4720
132	H0E1S0	0.01	64	2	0.2	1	0	100.log	1.8305	1.0000	1.0000	2.2972	0.4800	0.5193
99	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.2527	1.0000	1.0000	2.2537	0.1111	0.4111
115	H0E1S0	0.01	64	2	0.2	1	0	100.log	2.8360	0.7778	0.8667	1.1446	0.8980	0.9129
67	H0E1S0	0.01	16	2	0.1	1	0	100.log	2.5699	0.4974	0.5468	2.1407	0.5644	0.5419
182	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2538	0.4444	0.5556
221	H0E1S0	0.01	64	4	0.2	0	0	100.log	2.2538	1.0000	1.0000	2.2538	0.4444	0.5556
225	H0E1S0	0.01	64	3	0.1	0	0	100.log	1.8866	0.5987	0.6464	1.9517	0.5924	0.5772
77	H0E1S0	0.001	64	2	0.2	0	0	100.log	2.0786	0.5909	0.6116	2.0292	0.6121	0.5596
235	H0E1S0	0.01	64	4	0.1	1	0	100.log	2.2526	1.0000	1.0000	2.2520	0.5600	0.5450
83	H0E1S0	0.01	16	2	0.1	1	0	100.log	2.2416	0.5868	0.5662	2.2266	0.6963	0.6484
146	H0E1S0	0.001	16	3	0.1	1	0	100.log	0.8895	1.0000	1.0000	3.9139	0.5102	0.5436
206	H0E1S0	0.01	16	2	0.2	0	0	100.log	2.2272	0.3846	0.4881	2.2231	0.4691	0.4986
16	H0E1S0	0.001	64	2	0.2	0	0	100.log	2.2389	0.7795	0.8332	2.2505	0.6356	0.6266
175	H0E1S0	0.01	16	4	0.1	0	0	100.log	1.9872	0.6198	0.5499	2.0790	0.4688	0.4540
205	H0E1S0	0.01	64	4	0.2	1	0	100.log	4.2301	0.5095	0.5377	4.0426	0.4663	0.5167
187	H0E1S0	0.01	32	2	0.1	0	0	100.log	1.1209	0.7500	0.6792	6.2592	0.3594	0.4862
153	H0E1S0	0.001	64	3	0.1	1	0	100.log	2.2534	1.0000	1.0000	2.2534	0.5000	0.5833
185	H0E1S0	0.001	16	4	0.1	0	0	100.log	2.2534	1.0000	1.0000	2.2534	0.5000	0.5833
186	H0E1S0	0.01	64	2	0.2	1	0	100.log	1.9701	0.4903	0.5605	2.5259	0.4155	0.4627
2	H0E1S0	0.001	32	3	0.1	1	0	100.log	2.2344	0.6850	0.6263	2.2310	0.6507	0.5926
4	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.5337	0.4712	0.4792	2.6403	0.4670	0.4537
44	H0E1S0	0.01	32	3	0.2	0	0	100.log	1.3499	0.7812	0.7010	2.8211	0.6172	0.5744
183	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.1093	0.6474	0.5889	2.1328	0.4477	0.4670
137	H0E1S0	0.01	64	3	0.1	1	0	100.log	1.7802	0.9844	0.9861	3.0974	0.5986	0.5436
51	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.8893	0.5150	0.5178	3.4535	0.4634	0.4583
42	H0E1S0	0.01	64	4	0.2	0	0	100.log	6.2562	0.3306	0.4187	3.7081	0.5527	0.5782
234	H0E1S0	0.01	16	2	0.1	1	0	100.log	1.4899	0.6667	0.6389	2.0165	0.6389	0.7924
107	H0E1S0	0.001	64	4	0.2	0	0	100.log	2.2105	0.6939	0.8091	2.2307	0.3724	0.4239
118	H0E1S0	0.01	32	3	0.1	0	0	100.log	2.0738	1.0000	1.0000	2.6035	0.6250	0.7095
131	H0E1S0	0.01	16	3	0.2	1	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.5000
32	H0E1S0	0.01	64	4	0.2	1	0	100.log	2.0282	0.6972	0.7409	2.2933	0.6388	0.5876
210	H0E1S0	0.01	64	2	0.2	0	0	100.log	1.3764	1.0000	1.0000	1.8089	0.6327	0.6669
37	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.1965	0.7022	0.7932	2.2273	0.4678	0.4691
10	H0E1S0	0.01	32	3	0.1	0	0	100.log	3.0109	0.5699	0.5053	2.5251	0.6346	0.5742
144	H0E1S0	0.01	16	3	0.1	1	0	100.log	2.2243	0.7589	0.8094	2.2355	0.6843	0.7084
8	H0E1S0	0.01	16	4	0.1	1	0	100.log	3.1857	0.6075	0.5950	3.6885	0.5689	0.5566
57	H0E1S0	0.01	16	3	0.2	0	0	100.log	2.3964	0.5484	0.6384	2.3379	0.5987	0.5786
160	H0E1S0	0.01	32	2	0.1	0	0	100.log	2.2478	0.6849	0.6241	2.2499	0.5068	0.4722
193	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.5688	0.7500	0.8167	2.4360	0.7031	0.7650
199	H0E1S0	0.01	16	4	0.1	0	0	100.log	1.4996	1.0000	1.0000	4.8940	0.4444	0.5556
164	H0E1S0	0.01	32	4	0.2	0	0	100.log	2.1403	0.5859	0.6094	1.7749	0.6465	0.6891
79	H0E1S0	0.01	16	4	0.1	0	0	100.log	2.3629	0.6111	0.7361	1.7491	0.6875	0.7608
197	H0E1S0	0.01	32	3	0.1	0	0	100.log	2.2570	0.7500	0.8750	2.1580	0.5432	0.5785
46	H0E1S0	0.01	64	3	0.1	0	0	100.log	1.9902	0.5000	0.5281	2.7302	0.3826	0.4187
111	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2538	0.6667	0.6944	2.2536	0.8776	0.9038
58	H0E1S0	0.01	64	2	0.2	1	0	100.log	2.3043	0.5697	0.5695	2.3923	0.5315	0.5225
14	H0E1S0	0.0001	32	2	0.1	1	0	100.log	2.2143	0.7060	0.6953	2.2153	0.6089	0.5842
40	H0E1S0	0.01	16	3	0.2	1	0	100.log	0.8035	0.9600	0.9669	3.0869	0.4592	0.4622
11	H0E1S0	0.01	64	2	0.2	0	0	100.log	4.1692	0.5973	0.5606	3.9311	0.5959	0.5485
91	H0E1S0	0.001	64	2	0.1	1	0	100.log	2.2354	0.5000	0.7500	2.1511	0.7500	0.8304
85	H0E1S0	0.01	64	2	0.1	0	0	100.log	2.6046	0.6124	0.5544	2.9822	0.5510	0.5798
192	H0E1S0	0.0001	32	2	0.1	0	0	100.log	2.1771	1.0000	1.0000	2.2149	0.3210	0.4244
19	H0E1S0	0.01	16	3	0.1	1	0	100.log	3.8397	0.4892	0.4795	3.6542	0.5351	0.4938
