Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
133	H0E3S3	0.01	16	2	0.1	1	0.5	99.log	0.8869	0.8750	0.8333	1.7449	0.6528	0.5905
4	H0E2S0	0.0001	32	4	0.2	0	2	100.log	2.2537	0.5584	0.5371	2.2537	0.5440	0.5290
176	H0E3S3	0.001	64	3	0.2	1	0.5	99.log	0.8737	0.8750	0.8333	1.3808	0.7006	0.6630
83	H0E2S3	0.001	32	4	0.2	1	0.5	103.log	0.8996	0.8750	0.8333	1.3099	0.7191	0.6699
100	H0E3S3	0.01	64	4	0.2	0	1	99.log	0.8693	0.8750	0.8333	1.8905	0.5661	0.5602
109	H0E3S3	0.01	64	3	0.1	1	2	99.log	1.1433	0.9200	0.8857	1.9494	0.3467	0.5310
203	H0E3S2	0.01	64	4	0.1	0	1	102.log	1.0571	0.8578	0.8587	2.2887	0.5661	0.5383
62	H0E3S3	0.0001	32	2	0.2	1	0.5	99.log	0.8745	0.8750	0.8333	1.4137	0.7006	0.6630
142	H0E3S3	0.001	32	3	0.2	1	2	99.log	0.9301	0.8750	0.8333	1.6964	0.5031	0.4855
158	H0E3S3	0.01	64	4	0.2	1	0.5	99.log	0.8511	0.8750	0.8333	1.8831	0.5316	0.5255
40	H0E3S3	0.001	16	4	0.2	1	2	99.log	0.8474	0.8750	0.8333	1.6044	0.6528	0.7522
229	H0E2S3	0.01	16	4	0.2	1	1	103.log	0.8768	0.8750	0.8333	1.5269	0.6042	0.7210
99	H0E3S3	0.0001	32	3	0.1	1	2	99.log	0.8535	0.8750	0.8333	1.5768	0.6528	0.7520
64	H0E3S3	0.01	64	3	0.2	1	1	99.log	0.8594	0.8750	0.8333	1.6024	0.5833	0.6115
92	H0E3S3	0.001	64	2	0.2	1	0.5	99.log	0.9127	0.8750	0.8333	1.9182	0.5679	0.5311
