Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.0001	16	4	0.2	1	0	100.log	2.2538	0.3909	0.4457	2.2538	0.5180	0.5195
18	H0E1S0	0.01	32	2	0.2	0	0	100.log	2.3417	0.7145	0.6826	2.6090	0.6454	0.6090
67	H0E1S0	0.001	16	2	0.2	1	0	100.log	2.2504	1.0000	1.0000	2.2526	0.5556	0.7407
77	H0E1S0	0.001	16	4	0.1	1	0	100.log	2.2504	1.0000	1.0000	2.2526	0.5556	0.7407
16	H0E1S0	0.0001	32	2	0.1	0	0	100.log	2.2457	0.4365	0.4421	2.2462	0.3874	0.4131
2	H0E1S0	0.01	64	2	0.1	1	0	100.log	3.1767	0.7005	0.7253	3.0180	0.7224	0.7370
4	H0E1S0	0.01	64	4	0.2	0	0	100.log	2.2515	0.6745	0.6489	2.2512	0.6739	0.6509
44	H0E1S0	0.01	64	3	0.2	1	0	100.log	3.8631	0.5733	0.5672	3.4803	0.5386	0.5273
0	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.1207	0.6997	0.7277	2.0226	0.7387	0.6742
51	H0E1S0	0.01	32	2	0.2	1	0	100.log	2.2976	0.7239	0.6954	2.7498	0.6379	0.5843
42	H0E1S0	0.01	16	4	0.2	0	0	100.log	2.2336	0.6454	0.5830	2.2330	0.6309	0.5676
32	H0E1S0	0.01	64	4	0.2	0	0	100.log	9.3773	0.3516	0.4421	6.3786	0.4220	0.4349
37	H0E1S0	0.001	16	3	0.2	0	0	100.log	2.5664	0.6719	0.7580	2.7447	0.5957	0.5902
10	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.7339	0.5791	0.6222	2.4522	0.5508	0.5308
8	H0E1S0	0.001	32	2	0.2	0	0	100.log	2.2411	0.8861	0.8617	2.2428	0.8221	0.8252
57	H0E1S0	0.01	64	2	0.2	0	0	100.log	1.0384	1.0000	1.0000	1.0117	0.8889	0.8734
79	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2539	0.7500	0.6667	2.2539	0.7188	0.6500
46	H0E1S0	0.01	16	3	0.2	0	0	100.log	3.1134	0.4756	0.5072	3.4410	0.4313	0.5009
58	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2539	0.4037	0.4483	2.2538	0.4899	0.5227
14	H0E1S0	0.0001	64	3	0.1	1	0	100.log	2.2313	0.7575	0.7809	2.2352	0.5589	0.5514
40	H0E1S0	0.001	32	4	0.1	0	0	100.log	2.1250	0.7826	0.7804	2.1146	0.7097	0.6981
11	H0E1S0	0.0001	32	2	0.1	1	0	100.log	2.2354	0.5139	0.4950	2.2377	0.4397	0.4442
19	H0E1S0	0.01	32	3	0.1	1	0	100.log	2.5945	0.6476	0.6147	3.2198	0.5605	0.5657
35	H0E1S0	0.001	64	4	0.2	1	0	100.log	2.2442	0.8133	0.7905	2.2463	0.5465	0.5314
27	H0E1S0	0.001	16	3	0.2	0	0	100.log	2.2524	1.0000	1.0000	2.2513	0.8223	0.7854
13	H0E1S0	0.0001	64	3	0.1	1	0	100.log	2.2322	0.6582	0.6727	2.2323	0.6417	0.6082
52	H0E1S0	0.01	64	3	0.1	1	0	100.log	2.5908	0.5417	0.5753	2.7529	0.5456	0.5715
24	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.3435	0.6267	0.5743	3.2087	0.5328	0.5239
56	H0E1S0	0.0001	32	3	0.1	0	0	100.log	2.2511	0.7239	0.7640	2.2515	0.5483	0.5116
63	H0E1S0	0.01	64	3	0.2	0	0	100.log	4.6798	0.7068	0.7098	6.2069	0.4969	0.4894
60	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.2538	0.5000	0.5179	2.2538	0.5464	0.5439
38	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2538	0.4853	0.4706	2.2538	0.5496	0.5217
33	H0E1S0	0.01	16	4	0.2	1	0	100.log	3.5539	0.5045	0.5164	4.2639	0.4235	0.4871
48	H0E1S0	0.0001	32	4	0.2	1	0	100.log	2.2538	0.6139	0.5866	2.2538	0.4584	0.4845
29	H0E1S0	0.01	16	4	0.2	0	0	100.log	4.2373	0.4197	0.4323	5.2979	0.4000	0.4656
75	H0E1S0	0.0001	32	2	0.2	0	0	100.log	2.2533	0.7500	0.8750	2.2525	0.5926	0.5719
34	H0E1S0	0.01	32	4	0.1	1	0	100.log	2.8456	0.5829	0.6292	5.4796	0.4759	0.5296
68	H0E1S0	0.01	64	2	0.2	0	0	100.log	1.5356	0.8569	0.8019	3.0106	0.6319	0.6404
36	H0E1S0	0.01	32	3	0.1	1	0	100.log	2.2522	0.5402	0.5590	2.0715	0.6017	0.5573
43	H0E1S0	0.01	64	2	0.1	0	0	100.log	0.7260	1.0000	1.0000	1.3516	0.6800	0.6233
12	H0E1S0	0.01	32	4	0.2	1	0	100.log	6.5686	0.5838	0.5533	5.5112	0.5825	0.5383
76	H0E1S0	0.0001	64	4	0.1	0	0	100.log	2.2538	0.4444	0.5556	2.2538	0.5714	0.5481
65	H0E1S0	0.001	16	4	0.1	0	0	100.log	1.8658	0.4987	0.4788	1.7948	0.5213	0.4889
23	H0E1S0	0.01	16	2	0.1	0	0	100.log	2.3416	0.6598	0.6113	2.0346	0.6513	0.6057
30	H0E1S0	0.01	16	2	0.1	0	0	100.log	2.2512	1.0000	1.0000	2.0843	0.6667	0.6389
72	H0E1S0	0.0001	16	4	0.2	0	0	100.log	2.2538	0.4259	0.5114	2.2538	0.6122	0.6135
73	H0E1S0	0.01	16	3	0.1	1	0	100.log	2.2300	0.7025	0.7651	4.2232	0.4669	0.5339
50	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2518	0.6250	0.7349	2.2526	0.5043	0.5166
54	H0E1S0	0.01	64	3	0.1	0	0	100.log	2.4029	0.7107	0.6391	2.9643	0.6756	0.7030
62	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.3039	0.7093	0.7283	2.5710	0.5692	0.5315
45	H0E1S0	0.0001	64	4	0.1	1	0	100.log	2.2496	0.5779	0.5201	2.2495	0.6033	0.5354
3	H0E1S0	0.0001	16	2	0.2	0	0	100.log	2.2448	0.5294	0.4946	2.2463	0.4693	0.4766
74	H0E1S0	0.0001	16	3	0.2	1	0	100.log	2.2539	0.6667	0.6000	2.2539	0.5714	0.5385
26	H0E1S0	0.01	32	3	0.2	1	0	100.log	3.7392	0.6620	0.6448	3.2836	0.6612	0.6829
