Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.0001	32	4	0.2	1	0	100.log	2.2539	0.4191	0.4720	2.2539	0.4793	0.4942
18	H0E1S0	0.0001	16	3	0.2	0	0	100.log	2.2538	0.7308	0.6890	2.2538	0.5822	0.5775
67	H0E1S0	0.0001	64	2	0.1	0	0	100.log	2.2528	0.8965	0.8609	2.2530	0.8188	0.8183
77	H0E1S0	0.0001	64	4	0.2	0	0	100.log	2.2537	0.8065	0.7728	2.2538	0.7750	0.7309
16	H0E1S0	0.001	16	3	0.1	0	0	100.log	2.2149	0.4469	0.4518	2.2155	0.4084	0.4230
2	H0E1S0	0.01	64	4	0.2	1	0	100.log	2.7310	0.5914	0.5985	2.8270	0.6032	0.6089
4	H0E1S0	0.01	64	4	0.1	1	0	100.log	3.0002	0.7076	0.6467	3.6470	0.6881	0.6559
44	H0E1S0	0.01	16	4	0.2	1	0	100.log	1.9964	0.6311	0.5727	1.9061	0.6010	0.5740
0	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2532	0.6545	0.6074	2.2530	0.7526	0.7128
51	H0E1S0	0.0001	16	2	0.2	0	0	100.log	2.2533	0.7249	0.6806	2.2535	0.6393	0.6024
42	H0E1S0	0.001	16	4	0.2	1	0	100.log	2.2539	0.6017	0.6021	2.2538	0.6049	0.5945
32	H0E1S0	0.01	32	3	0.2	1	0	100.log	2.2538	0.4338	0.4420	2.2538	0.5265	0.4887
37	H0E1S0	0.0001	64	3	0.1	1	0	100.log	2.1892	0.8400	0.8267	2.1407	0.8264	0.8377
10	H0E1S0	0.01	64	2	0.2	1	0	100.log	3.5770	0.6136	0.5863	3.2086	0.5538	0.5501
8	H0E1S0	0.01	16	3	0.2	1	0	100.log	2.2538	0.9043	0.8886	2.2538	0.7985	0.7928
57	H0E1S0	0.001	64	4	0.1	1	0	100.log	2.2537	0.8367	0.8395	2.2538	0.6089	0.6827
79	H0E1S0	0.01	16	3	0.2	1	0	100.log	2.2539	0.8403	0.7785	2.2539	0.7522	0.6984
46	H0E1S0	0.01	64	2	0.2	0	0	100.log	2.2518	0.5289	0.5729	2.2518	0.5078	0.5485
58	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.4353	0.5279	0.5104	2.2136	0.5539	0.5754
14	H0E1S0	0.01	64	3	0.1	1	0	100.log	4.3622	0.6875	0.6928	5.5898	0.5283	0.5623
40	H0E1S0	0.01	64	4	0.2	0	0	100.log	5.1190	0.7385	0.7333	5.6262	0.6814	0.6774
11	H0E1S0	0.001	16	3	0.2	1	0	100.log	2.2538	0.5753	0.5376	2.2538	0.4540	0.4585
19	H0E1S0	0.001	16	3	0.2	0	0	100.log	2.2538	0.6431	0.6054	2.2538	0.5526	0.5352
35	H0E1S0	0.001	32	4	0.2	0	0	100.log	2.2538	0.7768	0.7329	2.2538	0.4896	0.5118
27	H0E1S0	0.01	32	4	0.1	0	0	100.log	1.8298	0.9600	0.9667	1.3118	0.7521	0.7171
13	H0E1S0	0.0001	32	3	0.1	0	0	100.log	2.2538	0.6868	0.6616	2.2538	0.6067	0.6145
52	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2539	0.5799	0.5540	2.2539	0.4872	0.5188
24	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.0768	0.6086	0.5527	3.2258	0.5338	0.5237
56	H0E1S0	0.001	16	3	0.2	1	0	100.log	2.2538	0.7725	0.7635	2.2538	0.5864	0.5442
63	H0E1S0	0.01	16	4	0.1	0	0	100.log	2.4299	0.7052	0.6959	3.3712	0.5374	0.5092
60	H0E1S0	0.0001	64	3	0.1	0	0	100.log	2.2535	0.8959	0.8701	2.2535	0.7958	0.8042
38	H0E1S0	0.001	64	3	0.2	0	0	100.log	2.2536	0.4452	0.4624	2.2535	0.4780	0.4508
33	H0E1S0	0.01	32	3	0.2	0	0	100.log	3.1485	0.6349	0.5621	4.0259	0.5170	0.4894
48	H0E1S0	0.001	32	4	0.1	1	0	100.log	2.2539	0.6731	0.6181	2.2539	0.4735	0.4865
29	H0E1S0	0.01	16	3	0.2	1	0	100.log	4.5454	0.3582	0.4080	5.4613	0.4147	0.4789
75	H0E1S0	0.0001	64	2	0.1	0	0	100.log	2.2528	0.8571	0.8444	2.2534	0.5289	0.6290
34	H0E1S0	0.01	16	2	0.2	0	0	100.log	1.7045	0.5982	0.5300	2.3512	0.5234	0.5059
68	H0E1S0	0.01	16	3	0.2	0	0	100.log	1.4167	0.8195	0.7726	2.2970	0.6111	0.6192
36	H0E1S0	0.01	64	2	0.2	1	0	100.log	2.3809	0.4534	0.4791	2.2213	0.5540	0.5606
43	H0E1S0	0.0001	64	3	0.2	0	0	100.log	2.2528	0.8965	0.8609	2.2530	0.8189	0.8184
12	H0E1S0	0.0001	64	3	0.2	1	0	100.log	2.2538	0.6386	0.5800	2.2538	0.5978	0.5549
76	H0E1S0	0.01	32	4	0.1	1	0	100.log	1.8272	0.9200	0.9267	1.2915	0.7769	0.8021
65	H0E1S0	0.01	64	3	0.2	1	0	100.log	1.6821	0.5856	0.5286	1.6311	0.5920	0.5255
23	H0E1S0	0.001	16	4	0.2	1	0	100.log	2.2538	0.6855	0.6478	2.2539	0.6514	0.6319
30	H0E1S0	0.01	32	3	0.1	1	0	100.log	2.2535	0.8944	0.8685	2.2535	0.7958	0.8044
72	H0E1S0	0.001	16	3	0.1	1	0	100.log	2.2538	0.8881	0.8699	2.2538	0.8206	0.8224
