Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.01	32	2	0.2	0	0	100.log	2.9224	0.3505	0.4360	2.4943	0.4386	0.4478
18	H0E1S0	0.0001	16	4	0.2	0	0	100.log	2.2537	0.7167	0.6597	2.2537	0.6089	0.5823
67	H0E1S0	0.001	16	2	0.2	1	0	100.log	2.2309	1.0000	1.0000	2.2311	0.5556	0.5863
77	H0E1S0	0.001	16	4	0.1	1	0	100.log	2.2309	1.0000	1.0000	2.2311	0.5556	0.5863
16	H0E1S0	0.01	16	3	0.1	1	0	100.log	5.1377	0.4358	0.4430	5.1384	0.4212	0.4229
2	H0E1S0	0.01	64	3	0.1	0	0	100.log	3.0948	0.7174	0.7377	2.9872	0.7397	0.7546
4	H0E1S0	0.01	16	4	0.2	0	0	100.log	2.2526	0.6880	0.6379	2.2524	0.7014	0.6616
44	H0E1S0	0.01	64	4	0.2	1	0	100.log	3.6259	0.5802	0.5524	3.3491	0.5557	0.5323
0	H0E1S0	0.01	64	2	0.1	1	0	100.log	1.8658	0.6944	0.6725	1.8661	0.7486	0.7179
51	H0E1S0	0.01	64	2	0.1	0	0	100.log	2.2053	0.7430	0.7400	2.4185	0.6761	0.6206
42	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.7197	0.6303	0.5731	2.9194	0.6389	0.5880
32	H0E1S0	0.01	32	3	0.2	1	0	100.log	2.2501	0.4253	0.4431	2.2496	0.5444	0.4912
37	H0E1S0	0.001	16	4	0.1	0	0	100.log	2.2536	0.7500	0.7565	2.2537	0.5605	0.5704
10	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.7224	0.6266	0.6288	3.1104	0.5440	0.5291
8	H0E1S0	0.0001	32	2	0.2	1	0	100.log	2.1998	0.8845	0.8504	2.2118	0.8179	0.8296
57	H0E1S0	0.01	64	3	0.1	1	0	100.log	0.7634	1.0000	1.0000	7.3857	0.4444	0.4965
79	H0E1S0	0.001	16	3	0.2	0	0	100.log	2.2536	0.5000	0.6667	2.2516	0.5625	0.5667
46	H0E1S0	0.01	32	3	0.2	1	0	100.log	3.7751	0.5333	0.6083	4.3729	0.4308	0.4642
