Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
81	H0E3S3	0.0001	64	3	0.1	1	1	96.log	1.3613	0.7116	0.6879	3.1555	0.5641	0.5581
47	H0E3S3	0.001	16	3	0.1	1	1	96.log	1.3568	0.7394	0.6981	3.1568	0.5502	0.5524
74	H0E3S3	0.0001	64	3	0.2	1	2	96.log	2.0585	0.7225	0.7032	2.7085	0.5849	0.5693
39	H0E3S1	0.001	32	2	0.2	1	1	100.log	2.2538	0.7011	0.6333	2.2538	0.6495	0.5901
36	H0E3S1	0.0001	16	3	0.1	1	2	100.log	1.2831	0.7078	0.7178	2.3090	0.5538	0.5508
72	H0E3S3	0.0001	64	4	0.2	1	1	96.log	1.4507	0.7160	0.7073	4.4601	0.5676	0.5538
37	H0E3S3	0.01	16	2	0.1	1	1	96.log	1.2518	0.7449	0.7238	3.2989	0.5539	0.5568
14	H0E3S3	0.01	16	2	0.2	1	2	96.log	1.4507	0.7160	0.7073	4.4601	0.5676	0.5538
23	H0E2S3	0.0001	64	2	0.2	1	1	100.log	1.6008	0.6749	0.6878	1.6472	0.5931	0.5705
6	H0E2S1	0.001	64	3	0.1	1	1	99.log	1.3672	0.7490	0.7219	3.9291	0.5431	0.5459
46	H0E3S3	0.001	32	4	0.2	1	2	96.log	1.2518	0.7449	0.7238	3.2989	0.5539	0.5568
82	H0E3S3	0.0001	32	4	0.1	1	1	96.log	1.2911	0.7106	0.6888	3.3867	0.5596	0.5553
75	H0E3S2	0.01	32	2	0.1	1	2	100.log	1.9067	0.7174	0.6924	2.3978	0.5705	0.5499
28	H0E3S3	0.01	32	4	0.1	1	1	96.log	1.4233	0.7154	0.7208	4.0204	0.5617	0.5464
29	H0E3S3	0.0001	32	4	0.1	1	1	96.log	1.2806	0.7123	0.7063	2.9951	0.5627	0.5523
30	H0E3S2	0.001	32	2	0.2	1	2	100.log	1.2518	0.7449	0.7238	3.2989	0.5539	0.5568
27	H0E3S3	0.0001	32	4	0.2	1	2	96.log	1.3591	0.7116	0.6879	3.1539	0.5641	0.5581
18	H0E3S3	0.01	64	2	0.2	1	2	96.log	1.9253	0.6400	0.7500	1.9255	0.4867	0.4785
69	H0E3S1	0.0001	16	4	0.1	1	1	100.log	1.2787	0.7356	0.7277	2.3070	0.5399	0.5455
