Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.01	16	3	0.2	0	0	100.log	2.2537	0.4711	0.4886	2.2535	0.5248	0.5349
18	H0E1S0	0.001	64	3	0.1	0	0	100.log	3.9891	0.5549	0.5883	4.4687	0.5370	0.5671
132	H0E1S0	0.01	16	2	0.1	1	0	100.log	1.5992	0.8889	0.9167	2.3831	0.3878	0.4609
99	H0E1S0	0.01	16	2	0.1	1	0	100.log	5.2122	0.3125	0.4821	2.4580	0.5185	0.5740
115	H0E1S0	0.01	32	2	0.2	1	0	100.log	2.1197	0.5709	0.6575	2.0521	0.5320	0.6155
67	H0E1S0	0.01	16	3	0.1	1	0	100.log	2.2555	0.6316	0.6277	2.5580	0.5264	0.5172
182	H0E1S0	0.01	64	4	0.1	1	0	100.log	3.0671	0.5844	0.5622	2.9200	0.6052	0.6126
77	H0E1S0	0.01	64	4	0.2	0	0	100.log	2.2517	0.6029	0.5817	2.2514	0.5474	0.5322
83	H0E1S0	0.0001	16	3	0.2	1	0	100.log	2.2533	0.5561	0.5599	2.2532	0.5634	0.5308
146	H0E1S0	0.01	16	4	0.1	0	0	100.log	3.2751	0.6094	0.6239	4.2163	0.5104	0.5370
206	H0E1S0	0.01	32	2	0.2	1	0	100.log	2.7766	0.5000	0.5833	5.0403	0.0000	0.3655
16	H0E1S0	0.01	64	3	0.1	0	0	100.log	4.8190	0.7755	0.8048	3.0824	0.7022	0.7520
175	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2538	0.5556	0.6158	2.2538	0.5873	0.5894
205	H0E1S0	0.001	32	4	0.1	0	0	100.log	2.1519	0.5781	0.6028	2.1489	0.7012	0.6308
187	H0E1S0	0.01	64	4	0.1	0	0	100.log	3.0625	0.6250	0.6459	3.4507	0.4522	0.4649
153	H0E1S0	0.01	32	4	0.2	0	0	100.log	3.1419	0.5723	0.5541	2.8055	0.5879	0.5279
185	H0E1S0	0.001	32	3	0.2	1	0	100.log	2.1989	0.5556	0.6444	2.0258	0.6020	0.5638
186	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.1641	0.5000	0.5833	1.8579	0.8125	0.8042
2	H0E1S0	0.01	16	2	0.1	1	0	100.log	2.1434	0.6125	0.6728	2.1668	0.6021	0.5816
4	H0E1S0	0.01	64	4	0.2	1	0	100.log	2.2538	0.7959	0.8024	2.2538	0.6607	0.5792
44	H0E1S0	0.0001	32	3	0.1	1	0	100.log	2.2521	0.6422	0.5913	2.2525	0.5406	0.5288
183	H0E1S0	0.01	64	4	0.2	1	0	100.log	2.4830	1.0000	1.0000	0.7129	1.0000	1.0000
0	H0E1S0	0.01	64	2	0.1	0	0	100.log	3.1317	0.6560	0.6048	3.6336	0.5730	0.5322
