Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.0001	16	4	0.2	1	0	100.log	2.2539	0.4627	0.4807	2.2539	0.5078	0.5100
18	H0E1S0	0.001	64	2	0.1	0	0	100.log	2.2482	0.5655	0.5327	2.2481	0.5408	0.5481
132	H0E1S0	0.01	32	4	0.2	0	0	100.log	2.2539	0.6776	0.6272	2.2539	0.5671	0.5495
99	H0E1S0	0.0001	32	4	0.2	0	0	100.log	3.1269	0.7039	0.6447	3.4366	0.6457	0.5936
115	H0E1S0	0.0001	16	3	0.1	0	0	100.log	2.2539	0.6657	0.6901	2.2539	0.5059	0.5202
67	H0E1S0	0.01	32	4	0.2	1	0	100.log	2.6957	0.6714	0.6497	3.3268	0.5753	0.5639
182	H0E1S0	0.001	16	2	0.2	1	0	100.log	3.2945	0.6996	0.6471	3.5063	0.6395	0.5919
77	H0E1S0	0.001	32	4	0.2	1	0	100.log	2.2532	0.6159	0.6068	2.2531	0.5658	0.5435
83	H0E1S0	0.01	16	4	0.1	0	0	100.log	2.2539	0.5708	0.5440	2.2539	0.5102	0.5081
146	H0E1S0	0.0001	32	2	0.1	1	0	100.log	2.1467	0.6756	0.6796	2.1742	0.5418	0.5233
206	H0E1S0	0.0001	64	4	0.1	0	0	100.log	2.2521	0.7070	0.6526	2.2522	0.6462	0.5952
16	H0E1S0	0.01	16	4	0.1	0	0	100.log	2.0192	0.7170	0.6482	2.3474	0.6355	0.5865
175	H0E1S0	0.01	32	3	0.1	1	0	100.log	2.2538	0.6673	0.6819	2.2539	0.4986	0.5125
205	H0E1S0	0.0001	32	4	0.2	0	0	100.log	2.2508	0.7002	0.6361	2.2509	0.6074	0.5613
187	H0E1S0	0.01	16	3	0.1	0	0	100.log	3.2945	0.6996	0.6471	3.5063	0.6395	0.5919
153	H0E1S0	0.01	32	2	0.2	0	0	100.log	1.8475	0.6550	0.6216	1.5940	0.5973	0.5598
185	H0E1S0	0.001	16	4	0.2	1	0	100.log	2.2539	0.6739	0.6804	2.2539	0.5053	0.5196
186	H0E1S0	0.001	64	3	0.1	1	0	100.log	2.2522	0.7065	0.6538	2.2523	0.6495	0.5972
2	H0E1S0	0.0001	16	4	0.1	0	0	100.log	1.7412	0.6625	0.7275	2.5431	0.5821	0.5680
4	H0E1S0	0.001	32	3	0.2	0	0	100.log	2.2537	0.6875	0.6298	2.2537	0.6201	0.5707
44	H0E1S0	0.01	64	4	0.1	1	0	100.log	1.4726	0.6671	0.6211	2.2377	0.4885	0.4953
183	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.2533	0.6672	0.6987	2.2534	0.5128	0.5003
0	H0E1S0	0.01	32	3	0.1	1	0	100.log	3.2600	0.6337	0.6122	3.2300	0.6005	0.5447
137	H0E1S0	0.01	16	3	0.2	1	0	100.log	4.7944	0.4925	0.4788	4.4140	0.5410	0.5384
51	H0E1S0	0.001	32	3	0.1	0	0	100.log	1.7991	0.6639	0.6456	1.6885	0.5990	0.5394
42	H0E1S0	0.001	64	3	0.1	0	0	100.log	2.2524	0.7079	0.6537	2.2525	0.6460	0.5948
107	H0E1S0	0.01	16	3	0.2	1	0	100.log	2.2537	0.4978	0.4943	2.2537	0.5503	0.5340
118	H0E1S0	0.001	64	2	0.2	1	0	100.log	2.2522	0.7065	0.6538	2.2523	0.6495	0.5972
131	H0E1S0	0.01	16	3	0.2	1	0	100.log	2.2127	0.6166	0.5661	2.3216	0.6385	0.5886
