Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
5	H0E1S0	0.01	16	3	0.1	1	0	100.log	2.3105	0.4706	0.5409	2.4443	0.5343	0.5530
18	H0E1S0	0.001	32	4	0.2	1	0	100.log	2.7277	0.5456	0.5934	2.8246	0.5358	0.5526
132	H0E1S0	0.01	64	3	0.2	1	0	100.log	1.9477	0.8889	0.9167	2.4725	0.4694	0.4946
99	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2524	0.5000	0.7321	2.2236	0.4568	0.5292
115	H0E1S0	0.01	64	2	0.1	0	0	100.log	4.0405	0.5640	0.6243	3.9152	0.6012	0.6563
67	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.2529	0.6507	0.6165	2.2530	0.5457	0.5308
182	H0E1S0	0.01	64	2	0.2	1	0	100.log	3.4212	0.5578	0.5211	3.5169	0.6021	0.6021
77	H0E1S0	0.001	16	4	0.2	1	0	100.log	2.2537	0.6320	0.5962	2.2538	0.5734	0.5735
83	H0E1S0	0.01	32	3	0.1	1	0	100.log	2.7604	0.6023	0.5666	3.0608	0.5331	0.5240
146	H0E1S0	0.001	64	3	0.1	1	0	100.log	2.1887	0.6302	0.5982	2.1890	0.5846	0.5396
206	H0E1S0	0.001	16	2	0.2	0	0	100.log	2.2497	0.5000	0.5833	2.2556	0.0000	0.3655
16	H0E1S0	0.01	32	3	0.2	0	0	100.log	1.9466	0.7755	0.8373	2.2700	0.5467	0.6629
175	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.7255	0.5432	0.5683	2.3248	0.6233	0.6182
205	H0E1S0	0.01	64	3	0.2	1	0	100.log	2.0423	0.6562	0.6124	1.5289	0.7207	0.6842
187	H0E1S0	0.01	64	2	0.1	1	0	100.log	2.3472	0.6653	0.6295	3.9341	0.4623	0.4699
153	H0E1S0	0.01	16	4	0.1	0	0	100.log	2.4800	0.6240	0.5874	2.2159	0.5993	0.5422
185	H0E1S0	0.01	32	4	0.1	0	0	100.log	2.6502	0.6667	0.6444	2.8693	0.5918	0.5352
186	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.0708	0.5000	0.5833	1.6021	0.8125	0.8042
2	H0E1S0	0.01	64	2	0.2	1	0	100.log	2.6523	0.7301	0.7177	2.5981	0.5536	0.5273
4	H0E1S0	0.01	16	4	0.1	1	0	100.log	0.8298	0.8571	0.7546	1.1152	0.7041	0.6011
44	H0E1S0	0.01	32	2	0.2	1	0	100.log	2.1752	0.6339	0.5841	2.1830	0.5057	0.5003
183	H0E1S0	0.01	64	4	0.2	1	0	100.log	1.3352	1.0000	1.0000	0.9652	0.7778	0.8056
0	H0E1S0	0.01	32	3	0.1	0	0	100.log	2.2414	0.6824	0.6318	2.2430	0.5665	0.5227
137	H0E1S0	0.01	16	3	0.1	1	0	100.log	3.8585	0.4930	0.5026	3.5135	0.5412	0.5345
51	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.1377	0.7603	0.7163	1.8946	0.6906	0.6760
42	H0E1S0	0.001	16	2	0.2	1	0	100.log	2.2403	0.5255	0.5270	2.2414	0.4409	0.4483
107	H0E1S0	0.01	16	3	0.1	1	0	100.log	3.6430	0.4823	0.4897	3.2481	0.5213	0.5158
118	H0E1S0	0.01	64	2	0.2	1	0	100.log	6.7469	0.5156	0.6220	4.4083	0.5087	0.5084
131	H0E1S0	0.01	32	3	0.1	1	0	100.log	7.7361	0.4800	0.4992	7.2146	0.5208	0.5299
