Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
40	H0E3S3	0.001	16	2	0.2	1	0.5	99.log	1.1318	0.8194	0.7902	1.3799	0.7272	0.7136
21	H0E3S3	0.001	16	3	0.2	1	1	99.log	1.4417	0.7567	0.7395	2.5078	0.5319	0.4997
149	H0E2S2	0.01	64	2	0.1	0	1	102.log	1.3079	0.7539	0.7160	2.2196	0.4568	0.4668
7	H0E3S3	0.0001	64	4	0.2	1	2	99.log	0.9330	0.9200	0.8857	1.4771	0.7760	0.6658
99	H0E3S3	0.0001	16	2	0.1	1	2	99.log	0.8598	0.9200	0.8857	1.6804	0.6816	0.6130
141	H0E3S3	0.01	32	2	0.1	1	2	99.log	1.9207	0.6750	0.7857	1.9407	0.5656	0.6130
23	H0E3S3	0.001	16	2	0.2	1	0.5	99.log	0.9514	0.9200	0.8857	1.4871	0.7072	0.6278
8	H0E3S2	0.01	64	2	0.2	0	1	102.log	0.9548	0.9200	0.8857	1.5618	0.7776	0.6662
58	H0E3S3	0.0001	16	2	0.1	1	1	99.log	0.9380	0.8750	0.8333	1.5373	0.5867	0.5574
151	H0E3S2	0.001	32	3	0.1	1	1	102.log	1.3079	0.7539	0.7160	2.2196	0.4568	0.4668
113	H0E3S2	0.01	32	2	0.1	1	2	102.log	1.9274	0.6600	0.7750	1.9383	0.5576	0.5959
185	H0E3S3	0.0001	64	4	0.1	1	0.5	99.log	1.2426	0.7639	0.7554	1.6001	0.5950	0.5512
202	H0E3S2	0.01	64	3	0.2	0	0.5	102.log	0.9504	0.9200	0.8857	1.4998	0.7072	0.6278
158	H0E3S2	0.0001	32	2	0.1	1	2	102.log	0.8938	0.9200	0.8857	1.3647	0.7056	0.6274
181	H0E3S3	0.01	32	3	0.1	1	0.5	99.log	1.2392	0.7600	0.8222	1.4239	0.6624	0.6151
