graph num,val_loss,val_roc,val_ap,test_loss,test_roc,test_ap
224,2.0326,0.5193,0.5412,1.9474,0.5406,0.5320
346,1.7729,0.5062,0.4902,1.7846,0.5304,0.5510
95,2.0512,0.5000,0.5876,2.0459,0.5463,0.5540
18,1.9443,0.5370,0.5595,1.9445,0.5043,0.5010
254,1.9761,0.5187,0.5319,1.9758,0.5516,0.5559
336,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
638,2.0171,0.5079,0.5331,2.0185,0.5508,0.5317
368,2.2504,0.5538,0.5463,2.2518,0.4690,0.4928
46,1.9812,0.5449,0.5507,1.9813,0.5299,0.5269
513,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
401,1.7128,0.5673,0.5593,1.9309,0.4894,0.4998
287,1.9080,0.5098,0.5370,1.8656,0.5112,0.5019
563,2.0157,0.5269,0.5665,2.0163,0.5119,0.5214
36,1.9812,0.5449,0.5508,1.9812,0.5239,0.5173
266,1.9338,0.5188,0.5386,1.9168,0.5241,0.5137
654,1.9454,0.5503,0.6176,1.9452,0.5215,0.5312
304,1.9011,0.5011,0.5055,1.9001,0.5452,0.5745
582,1.8603,0.5272,0.5819,1.8903,0.5122,0.5009
490,1.8398,0.5023,0.5679,1.8405,0.4920,0.5077
624,1.9824,0.5833,0.6063,2.0374,0.5004,0.4945
374,1.9466,0.5451,0.6061,1.9465,0.5055,0.5188
718,1.7511,0.6050,0.5745,1.7546,0.5913,0.6054
248,1.9427,0.5214,0.5428,1.9161,0.5341,0.5228
551,1.9459,0.5345,0.5945,1.9457,0.5237,0.5357
89,2.0168,0.5346,0.5528,2.0192,0.4826,0.4976
74,1.9759,0.4908,0.5122,1.9765,0.4629,0.4718
11,2.2531,0.5347,0.5329,2.2527,0.5309,0.5119
544,1.9455,0.5286,0.5574,1.9453,0.5191,0.5285
106,1.9813,0.5108,0.5074,1.9814,0.5106,0.5098
456,1.8603,0.5242,0.5252,1.8646,0.5194,0.5125
61,2.0124,0.5792,0.5946,2.0164,0.5246,0.5355
723,1.9787,0.5039,0.5046,1.9783,0.4995,0.4929
273,1.9779,0.5190,0.5289,1.9777,0.5347,0.5320
311,2.0189,0.5954,0.6106,2.0184,0.5207,0.5282
408,1.9255,0.5141,0.5244,1.9257,0.5001,0.5042
203,2.0474,0.5196,0.5377,1.9516,0.5337,0.5198
361,2.0048,0.5052,0.5309,1.8742,0.5013,0.4884
128,2.0200,0.5228,0.5243,2.0200,0.4915,0.4887
134,2.0469,0.4737,0.5072,2.0437,0.5139,0.5092
53,1.9769,0.5586,0.5576,2.0256,0.4958,0.5040
499,2.0183,0.4807,0.4756,2.0171,0.4860,0.4722
414,1.8040,0.5270,0.5138,1.8775,0.4730,0.4906
5,1.9806,0.5781,0.6599,1.9806,0.5085,0.4969
292,1.7708,0.4977,0.4964,1.7625,0.5027,0.5093
576,1.9809,0.5323,0.5878,1.9773,0.5842,0.5695
353,1.9007,0.5083,0.5630,1.8670,0.5339,0.5597
80,2.0469,0.5263,0.5331,2.0470,0.5160,0.5092
197,1.9738,0.5189,0.5305,1.9734,0.5401,0.5393
241,1.9690,0.5174,0.5385,1.9233,0.5379,0.5267
323,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
364,2.2488,0.5531,0.5469,2.2509,0.4581,0.4799
206,1.9298,0.5139,0.5499,1.8772,0.5390,0.5286
314,2.0179,0.5773,0.5803,2.0164,0.5242,0.5278
644,2.1160,0.6875,0.7461,2.1160,0.4549,0.4558
64,1.9420,0.5232,0.5203,1.9338,0.4895,0.4809
531,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
453,1.9812,0.5085,0.5112,1.9812,0.5092,0.5083
99,2.0188,0.5294,0.5317,2.0188,0.5445,0.5466
258,1.9800,0.4957,0.5256,1.9798,0.5706,0.5891
541,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
14,2.2536,0.5306,0.5245,2.2536,0.5298,0.5130
356,1.9825,0.5165,0.5900,1.9658,0.4705,0.4813
