graph_num,val_roc,val_ap,test_roc,test_ap
846,1,1,0.6,0.5629
842,1,1,0.5556,0.5889
841,0,0.5,0,0.4167
840,0,0.5,0,0.4167
839,0,0.5,0,0.4167
838,0,0.5,0,0.4167
837,0,0.5,0,0.4167
836,0,0.5,0,0.4167
835,0,0.5,0,0.4167
834,0,0.5,0,0.4167
833,0,0.5,0,0.4167
832,0,0.5,0,0.4167
831,0,0.5,0,0.4167
830,0,0.5,0,0.4167
829,0,0.5,0,0.4167
828,0,0.5,0,0.4167
827,0,0.5,0,0.4167
826,0,0.5,0,0.4167
825,0,0.5,0,0.4167
824,0,0.5,0,0.4167
823,0,0.5,0,0.4167
822,0,0.5,0,0.4167
821,0,0.5,0,0.4167
820,0,0.5,0,0.4167
819,0,0.5,0,0.4167
818,0,0.5,0,0.4167
817,0,0.5,0,0.4167
816,0,0.5,0,0.4167
815,0,0.5,0,0.4167
814,0,0.5,0,0.4167
813,0,0.5,0,0.4167
812,0,0.5,0,0.4167
811,0,0.5,0,0.4167
810,0,0.5,0,0.4167
809,0,0.5,0,0.4167
808,0,0.5,0,0.4167
807,0,0.5,0,0.4167
806,0,0.5,0,0.4167
805,0,0.5,0,0.4167
804,0,0.5,0,0.4167
803,0,0.5,0,0.4167
802,0,0.5,0,0.4167
801,0,0.5,0,0.4167
800,0,0.5,0,0.4167
799,0,0.5,0,0.4167
798,0,0.5,0,0.4167
797,0,0.5,0,0.4167
796,0,0.5,0,0.4167
795,0,0.5,0,0.4167
794,0,0.5,0,0.4167
793,0,0.5,0,0.4167
792,0,0.5,0,0.4167
791,0,0.5,0,0.4167
790,0,0.5,0,0.4167
789,0,0.5,0,0.4167
788,0,0.5,0,0.4167
787,0,0.5,0,0.4167
786,0,0.5,0,0.4167
785,0,0.5,0,0.4167
784,0,0.5,0,0.4167
783,0,0.5,0,0.4167
782,0,0.5,0,0.4167
781,0,0.5,0,0.4167
780,0,0.5,0,0.4167
779,0,0.5,0,0.4167
778,0,0.5,0,0.4167
777,0,0.5,0,0.4167
776,0,0.5,0,0.4167
775,0,0.5,0,0.4167
774,0,0.5,0,0.4167
773,0,0.5,0,0.4167
772,0,0.5,0,0.4167
771,0,0.5,0,0.4167
770,0,0.5,0,0.4167
769,0,0.5,0,0.4167
768,0,0.5,0,0.4167
767,0,0.5,0,0.4167
766,0,0.5,0,0.4167
765,0,0.5,0,0.4167
764,0,0.5,0,0.4167
763,0,0.5,0,0.4167
762,0,0.5,0,0.4167
761,0,0.5,0,0.4167
760,0,0.5,0,0.4167
759,0,0.5,0,0.4167
758,0,0.5,0,0.4167
757,0,0.5,0,0.4167
756,0,0.5,0,0.4167
728,0.5356,0.5146,0.5362,0.5146
727,0.4854,0.4879,0.4816,0.4856
726,0.8916,0.8344,0.8668,0.8031
725,0.6112,0.5622,0.5938,0.5523
724,1,1,0.375,0.5
723,0.5,0.5595,0.5938,0.5717
722,0.5,0.5595,0.5938,0.5717
720,0.66,0.5917,0.7603,0.7075
719,0.5,0.5357,0.7422,0.6565
718,0.5,0.5357,0.7422,0.6565
716,0.5694,0.5403,0.6042,0.6102
715,0.5476,0.5211,0.5288,0.5111
714,0.7683,0.7088,0.7571,0.6888
713,0.7683,0.7088,0.7571,0.6888
712,0.7347,0.8388,0.8087,0.771
711,0.7803,0.7107,0.7679,0.6979
709,1,1,0.4375,0.5012
708,1,1,0.25,0.5
707,0.4841,0.4867,0.503,0.4977
706,0.8125,0.8929,0.4815,0.5223
705,0.875,0.8875,0.0781,0.3508
704,0.3333,0.6333,0.5306,0.5365
703,0,0.4167,0.25,0.4571
