Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
332	H0E1S0	0.01	64	2	0.2	0	0	100.log	1.1219	0.8086	0.8021	1.5033	0.6777	0.6127
799	H0E1S0	0.01	32	3	0.2	1	0	100.log	2.2533	1.0000	1.0000	2.2537	0.3333	0.5000
5	H0E1S0	0.01	64	3	0.1	0	0	100.log	7.5383	0.5000	0.6135	5.3459	0.4790	0.4663
777	H0E1S0	0.01	64	2	0.1	0	0	100.log	2.2526	1.0000	1.0000	2.2528	1.0000	1.0000
788	H0E1S0	0.01	32	4	0.1	1	0	100.log	2.1695	1.0000	1.0000	2.2118	0.4444	0.5333
584	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.2216	1.0000	1.0000	2.2414	0.5000	0.5833
268	H0E1S0	0.01	64	4	0.1	0	0	100.log	1.0773	0.9504	0.9422	1.8611	0.8062	0.8001
736	H0E1S0	0.01	64	4	0.1	0	0	100.log	1.9786	1.0000	1.0000	13.2439	1.0000	1.0000
565	H0E1S0	0.01	32	4	0.2	1	0	100.log	4.6406	0.5000	0.5327	3.3452	0.6736	0.6553
362	H0E1S0	0.01	64	2	0.2	1	0	100.log	3.8200	0.6800	0.6753	4.7009	0.5576	0.5593
690	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2533	1.0000	1.0000	2.2537	0.3333	0.5000
481	H0E1S0	0.01	64	4	0.2	1	0	100.log	1.2729	0.8889	0.9167	4.7663	0.3889	0.4585
699	H0E1S0	0.001	16	2	0.2	0	0	100.log	2.2536	0.8223	0.7414	2.2537	0.8539	0.7794
251	H0E1S0	0.001	64	4	0.1	0	0	100.log	2.2538	0.7357	0.7097	2.2538	0.7495	0.7018
314	H0E1S0	0.01	64	2	0.2	1	0	100.log	1.1244	0.8086	0.8021	1.4895	0.6772	0.6118
817	H0E1S0	0.001	32	3	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2538	0.8889	0.9167
18	H0E1S0	0.01	32	2	0.2	1	0	100.log	5.5774	0.5062	0.6694	2.6380	0.7130	0.7694
614	H0E1S0	0.001	64	2	0.2	1	0	100.log	2.2537	0.5000	0.5833	2.2494	0.7500	0.8304
535	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.1793	0.4600	0.5352	1.9386	0.7029	0.7440
406	H0E1S0	0.0001	64	4	0.2	0	0	100.log	2.2535	0.6735	0.6497	2.2535	0.5267	0.6383
594	H0E1S0	0.001	16	3	0.2	0	0	100.log	2.2538	1.0000	1.0000	2.2538	0.8750	0.8000
824	H0E1S0	0.0001	32	3	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2538	0.8750	0.8000
132	H0E1S0	0.01	32	2	0.1	0	0	100.log	2.2564	0.6667	0.7185	2.5591	0.6181	0.5535
547	H0E1S0	0.01	16	4	0.1	1	0	100.log	3.0001	0.6049	0.6621	2.4204	0.5664	0.5313
99	H0E1S0	0.01	64	2	0.2	1	0	100.log	2.2390	0.6400	0.6926	3.0575	0.4600	0.5086
115	H0E1S0	0.0001	64	4	0.2	1	0	100.log	2.2537	0.6306	0.5827	2.2536	0.6514	0.6057
719	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2539	0.7500	0.6667	2.2539	0.8125	0.7273
469	H0E1S0	0.0001	32	2	0.2	0	0	100.log	2.2537	1.0000	1.0000	2.2526	0.6667	0.7556
825	H0E1S0	0.001	16	4	0.1	0	0	100.log	2.2537	1.0000	1.0000	2.2526	0.6667	0.7556
697	H0E1S0	0.001	16	2	0.1	1	0	100.log	2.2537	0.8867	0.8390	2.2537	0.8933	0.8295
