Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
177	H0E1S0	0.0001	32	4	0.2	0	0	85.log	2.2539	0.7351	0.6688	2.2538	0.7117	0.6437
127	H0E1S0	0.0001	32	3	0.1	0	0	86.log	2.2537	1.0000	1.0000	2.2538	0.6479	0.7294
365	H0E1S0	0.01	64	3	0.2	1	0	165.log	4.5692	0.6912	0.6696	6.6417	0.5656	0.5660
862	H0E1S0	0.0001	64	2	0.2	1	0	3.log	2.2538	1.0000	1.0000	2.2538	0.6667	0.6111
392	H0E1S0	0.001	32	2	0.2	0	0	6.log	2.2529	1.0000	1.0000	2.2528	0.3333	0.6333
223	H0E1S0	0.01	64	4	0.2	0	0	88.log	2.2836	0.7423	0.6829	1.9784	0.7071	0.6184
801	H0E1S0	0.001	32	2	0.1	0	0	14.log	2.2538	1.0000	1.0000	2.2538	0.7500	0.8333
538	H0E1S0	0.001	64	3	0.1	1	0	112.log	2.5659	0.7200	0.7039	1.4522	0.7574	0.8055
187	H0E1S0	0.0001	32	4	0.2	0	0	85.log	2.2539	0.7351	0.6688	2.2538	0.7117	0.6437
294	H0E1S0	0.01	16	4	0.1	0	0	116.log	2.2538	0.6433	0.6688	2.2538	0.6385	0.5892
510	H0E1S0	0.001	64	3	0.1	0	0	112.log	2.6442	0.7200	0.7039	1.4431	0.7664	0.8105
196	H0E1S0	0.001	32	4	0.2	0	0	85.log	2.2539	0.7351	0.6688	2.2538	0.7141	0.6443
803	H0E1S0	0.0001	64	2	0.2	1	0	14.log	2.2528	1.0000	1.0000	2.2526	0.3333	0.6333
237	H0E1S0	0.01	16	4	0.1	0	0	53.log	2.2539	0.6302	0.5901	2.2539	0.7001	0.6607
482	H0E1S0	0.01	16	2	0.2	1	0	47.log	3.1445	0.6667	0.7556	2.1875	0.5102	0.5198
535	H0E1S0	0.001	64	3	0.1	0	0	112.log	2.6442	0.7200	0.7039	1.4431	0.7664	0.8105
286	H0E1S0	0.001	16	3	0.2	1	0	69.log	2.2507	0.6694	0.6452	2.2515	0.5207	0.5175
607	H0E1S0	0.01	64	2	0.1	1	0	39.log	2.8195	0.5556	0.5889	2.3467	0.6667	0.6454
659	H0E1S0	0.0001	64	3	0.2	0	0	3.log	2.2509	1.0000	1.0000	2.2522	0.4000	0.4693
544	H0E1S0	0.01	16	4	0.2	1	0	60.log	3.0400	0.5802	0.6590	2.3452	0.4815	0.4835
875	H0E1S0	0.01	32	2	0.1	0	0	16.log	2.2431	1.0000	1.0000	2.2433	0.3333	0.6333
702	H0E1S0	0.01	16	2	0.2	1	0	12.log	2.2538	1.0000	1.0000	2.2539	0.3889	0.4667
748	H0E1S0	0.01	32	4	0.1	1	0	15.log	2.2537	1.0000	1.0000	2.2538	0.1111	0.3833
184	H0E1S0	0.0001	32	4	0.2	0	0	85.log	2.2539	0.7351	0.6688	2.2538	0.7117	0.6437
676	H0E1S0	0.001	64	3	0.1	0	0	3.log	2.2537	1.0000	1.0000	2.2538	0.6250	0.5667
725	H0E1S0	0.0001	16	4	0.2	0	0	95.log	2.2539	0.4378	0.4703	2.2539	0.4435	0.4734
114	H0E1S0	0.01	16	2	0.1	0	0	212.log	2.5129	0.5331	0.6359	2.6310	0.4361	0.4743
649	H0E1S0	0.0001	32	3	0.2	1	0	8.log	2.2539	1.0000	1.0000	2.2539	0.7500	0.6667
599	H0E1S0	0.001	64	3	0.1	0	0	37.log	2.2531	1.0000	1.0000	2.2536	0.4800	0.5060
254	H0E1S0	0.01	16	4	0.1	0	0	53.log	2.2539	0.6302	0.5901	2.2539	0.7001	0.6607
281	H0E1S0	0.01	16	4	0.1	0	0	53.log	2.2539	0.6302	0.5901	2.2539	0.7001	0.6607
577	H0E1S0	0.001	32	4	0.1	0	0	26.log	2.2539	0.7083	0.6486	2.2539	0.7278	0.6809
786	H0E1S0	0.0001	32	4	0.1	0	0	14.log	2.2538	1.0000	1.0000	2.2538	0.9444	0.9167
104	H0E1S0	0.01	16	2	0.1	0	0	212.log	2.5129	0.5331	0.6359	2.6310	0.4361	0.4743
724	H0E1S0	0.0001	32	2	0.1	1	0	9.log	2.2449	1.0000	1.0000	2.2486	0.3333	0.6333
400	H0E1S0	0.001	16	2	0.1	0	0	63.log	2.2529	0.5938	0.5411	2.2528	0.5859	0.6701
478	H0E1S0	0.01	32	3	0.1	0	0	21.log	2.2533	1.0000	1.0000	2.2536	0.5556	0.7000
372	H0E1S0	0.0001	16	4	0.1	1	0	91.log	2.2539	0.7963	0.8022	2.2539	0.7037	0.7106
745	H0E1S0	0.01	16	4	0.2	1	0	15.log	2.2538	1.0000	1.0000	2.2538	0.8333	0.8333
71	H0E1S0	0.01	32	3	0.2	1	0	233.log	2.2164	0.6621	0.6678	2.0102	0.6388	0.6175
423	H0E1S0	0.0001	16	4	0.1	1	0	53.log	2.2539	0.6250	0.5833	2.2539	0.6000	0.5711
7	H0E1S0	0.01	16	4	0.1	1	0	151.log	1.8117	0.7531	0.6893	2.7650	0.5525	0.5375
344	H0E1S0	0.01	32	4	0.2	0	0	112.log	1.5111	0.7760	0.7354	2.3065	0.6730	0.5923
615	H0E1S0	0.01	16	4	0.1	1	0	18.log	2.2539	0.0000	0.4167	2.2538	0.9375	0.9500
773	H0E1S0	0.0001	16	4	0.2	1	0	14.log	2.2436	1.0000	1.0000	2.2440	0.3333	0.6333
180	H0E1S0	0.0001	32	4	0.2	0	0	85.log	2.2539	0.7351	0.6688	2.2538	0.7117	0.6437
710	H0E1S0	0.0001	32	3	0.1	1	0	28.log	1.3562	1.0000	1.0000	5.8688	0.2500	0.5000
99	H0E1S0	0.01	16	3	0.1	1	0	42.log	2.2538	0.5600	0.7200	2.2538	0.5050	0.5259
521	H0E1S0	0.001	64	3	0.1	0	0	112.log	2.6442	0.7200	0.7039	1.4431	0.7664	0.8105
816	H0E1S0	0.01	32	4	0.1	0	0	14.log	2.2529	1.0000	1.0000	2.2528	0.3333	0.6333
5	H0E1S0	0.01	32	4	0.2	1	0	96.log	2.4692	0.5547	0.6563	2.0032	0.4976	0.4721
