Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
332	H0E1S0	0.01	64	2	0.2	1	0	100.log	3.5914	0.8203	0.8400	3.4845	0.6511	0.5855
799	H0E1S0	0.01	64	2	0.1	1	0	100.log	2.2499	1.0000	1.0000	2.2498	1.0000	1.0000
5	H0E1S0	0.01	64	2	0.1	0	0	100.log	4.9907	0.5078	0.5966	4.0552	0.4888	0.4809
777	H0E1S0	0.01	64	2	0.1	0	0	100.log	1.9586	1.0000	1.0000	1.9698	1.0000	1.0000
788	H0E1S0	0.001	64	3	0.1	0	0	100.log	2.2329	1.0000	1.0000	2.2420	1.0000	1.0000
584	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.1246	1.0000	1.0000	2.1927	0.5000	0.5833
268	H0E1S0	0.01	16	4	0.1	0	0	100.log	1.3833	0.9091	0.9261	2.6354	0.6749	0.7384
736	H0E1S0	0.0001	16	3	0.1	0	0	100.log	2.2352	1.0000	1.0000	2.2446	0.2222	0.4667
565	H0E1S0	0.001	16	2	0.2	0	0	100.log	2.2089	0.6667	0.6552	2.2065	0.7153	0.6597
362	H0E1S0	0.0001	16	3	0.1	1	0	100.log	2.2515	0.7904	0.7214	2.2514	0.6922	0.6581
690	H0E1S0	0.01	32	3	0.2	1	0	100.log	2.2514	1.0000	1.0000	2.2533	0.6000	0.5926
481	H0E1S0	0.01	16	4	0.1	1	0	100.log	1.7346	0.7778	0.8056	3.2303	0.3611	0.4679
699	H0E1S0	0.001	16	3	0.2	1	0	100.log	2.1719	0.8236	0.7419	2.1631	0.8585	0.7817
251	H0E1S0	0.01	64	2	0.2	1	0	100.log	1.8419	0.7404	0.6770	1.7444	0.7129	0.6198
314	H0E1S0	0.01	64	2	0.1	0	0	100.log	3.2818	0.8242	0.8390	3.1030	0.6713	0.6087
817	H0E1S0	0.001	32	3	0.1	1	0	100.log	2.2231	1.0000	1.0000	2.2253	1.0000	1.0000
18	H0E1S0	0.001	32	3	0.2	0	0	100.log	2.2500	0.6420	0.6978	2.2500	0.7500	0.8095
614	H0E1S0	0.0001	32	4	0.2	0	0	100.log	2.2556	0.0000	0.5000	2.2450	0.8750	0.9167
535	H0E1S0	0.0001	64	4	0.1	0	0	100.log	2.2386	0.5800	0.6010	2.2064	0.7982	0.8159
406	H0E1S0	0.001	64	4	0.2	1	0	100.log	2.9040	0.6531	0.6171	2.7143	0.7156	0.7680
594	H0E1S0	0.001	16	3	0.2	0	0	100.log	2.1340	1.0000	1.0000	2.1927	0.8750	0.8000
824	H0E1S0	0.0001	32	3	0.1	1	0	100.log	2.1340	1.0000	1.0000	2.1927	0.8750	0.8000
132	H0E1S0	0.001	64	4	0.2	0	0	100.log	2.2034	0.6458	0.7521	2.2127	0.4462	0.4782
