Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
295	H1E1S3	0.001	64	3	0.1	1	2	100.log	1.2340	0.8403	0.8519	1.3326	0.6979	0.6030
422	H2E3S3	0.0001	16	2	0.1	1	1	96.log	1.0728	0.8611	0.8579	1.2688	0.7161	0.6164
401	H2E2S3	0.001	64	4	0.1	1	2	98.log	2.2533	0.6752	0.6359	2.2534	0.7295	0.6609
486	H2E3S3	0.01	64	2	0.2	1	1	96.log	1.5578	0.7569	0.8394	1.7438	0.5764	0.5332
375	H2E3S3	0.001	32	3	0.2	1	0.5	96.log	1.9967	0.5799	0.7153	1.9803	0.4939	0.5067
341	H1E2S3	0.0001	64	2	0.2	1	0.5	96.log	2.2529	0.6440	0.6587	2.2529	0.5566	0.5683
80	H3E3S2	0.0001	32	3	0.1	1	1	96.log	2.2533	0.7014	0.6835	2.2536	0.6039	0.5698
580	H2E2S2	0.001	32	4	0.2	0	2	96.log	1.8421	0.7014	0.7789	2.1121	0.4911	0.4871
283	H3E3S3	0.001	16	3	0.1	1	0.5	99.log	1.2645	0.8000	0.7779	2.1594	0.3900	0.4319
644	H2E3S1	0.001	64	4	0.2	0	2	96.log	2.1059	0.7431	0.7244	2.1124	0.5972	0.5708
721	H1E1S1	0.001	32	2	0.2	0	0.5	99.log	2.2167	0.6988	0.6885	2.3781	0.5600	0.5273
95	H3E3S2	0.001	32	2	0.2	1	1	96.log	1.6019	0.7847	0.8146	1.5920	0.6302	0.5702
78	H3E3S2	0.01	32	4	0.2	1	2	96.log	2.3414	0.6838	0.6897	2.0967	0.5995	0.5664
128	H3E2S2	0.0001	64	2	0.1	1	0.5	98.log	1.9976	0.6181	0.7629	1.9781	0.4778	0.4849
621	H2E3S3	0.01	16	4	0.2	1	0.5	96.log	2.2534	0.7355	0.7414	2.2537	0.5924	0.5627
517	H3E3S3	0.001	32	2	0.1	1	2	99.log	3.7664	0.7036	0.6931	3.0006	0.5496	0.5263
653	H2E3S3	0.001	64	4	0.2	1	0.5	96.log	2.9982	0.7183	0.7346	2.2644	0.6135	0.5941
362	H3E3S0	0.0001	64	4	0.1	1	2	96.log	2.2099	0.6274	0.6057	2.2227	0.5553	0.5416
365	H3E3S0	0.0001	32	4	0.1	0	2	96.log	2.2508	0.6156	0.5911	2.2516	0.5202	0.5153
452	H3E1S2	0.01	64	3	0.1	1	2	96.log	1.2569	0.7750	0.8153	2.1994	0.3975	0.4420
