Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
861	H2E3S2	0.01	16	4	0.1	1	1	98.log	2.1158	0.7813	0.7993	2.1158	0.612	0.5984
859	H3E3S2	0.0001	32	3	0.1	1	2	96.log	2.1081	0.7188	0.7897	2.1096	0.6363	0.6332
858	H3E3S2	0.01	16	4	0.2	0	1	96.log	1.9479	0.625	0.7169	1.9479	0.5576	0.6133
854	H0E2S2	0.01	32	3	0.1	1	1	100.log	1.7846	0.7917	0.8417	1.9214	0.717	0.7789
851	H0E3S0	0.01	64	2	0.2	0	1	99.log	1.5021	0.75	0.706	3.2658	0.6016	0.5548
850	H1E1S3	0.001	16	3	0.1	0	2	100.log	2.7984	0.6522	0.6883	1.8418	0.6509	0.6057
846	H3E1S3	0.0001	32	4	0.2	0	2	98.log	1.9015	0.6633	0.7857	1.9018	0.5498	0.5592
843	H1E2S1	0.01	64	2	0.2	0	2	100.log	1.0731	0.7986	0.8036	2.5327	0.6432	0.5818
842	H3E2S3	0.0001	32	2	0.1	0	2	96.log	2.108	0.6597	0.7528	2.1108	0.4783	0.4977
724	H3E1S1	0.0001	64	4	0.1	0	2	100.log	1.9478	0.6348	0.745	1.9479	0.5503	0.5802
723	H3E3S3	0.0001	16	2	0.1	1	1	99.log	2.8274	0.638	0.6782	3.0713	0.5119	0.4865
722	H3E3S3	0.001	32	2	0.1	1	1	99.log	1.9041	0.648	0.7468	1.9041	0.5735	0.5827
721	H1E1S1	0.001	32	3	0.1	0	2	99.log	1.7359	0.8125	0.8708	1.91	0.6979	0.7194
720	H3E1S3	0.001	64	3	0.1	1	2	98.log	1.0691	0.7969	0.7317	2.4293	0.5752	0.5376
719	H0E2S3	0.01	32	3	0.2	1	2	100.log	2.0987	0.7361	0.7507	2.1023	0.5868	0.5665
718	H0E2S3	0.0001	64	3	0.1	1	0.5	100.log	3.4422	0.6513	0.6865	3.747	0.521	0.4934
717	H1E1S0	0.001	16	3	0.1	0	2	100.log	2.0188	0.7986	0.8672	2.0401	0.6172	0.6151
716	H3E3S2	0.01	16	4	0.2	1	2	96.log	2.0901	0.65	0.7353	2.0903	0.5175	0.504
712	H2E2S2	0.01	64	4	0.2	0	2	96.log	3.401	0.6786	0.7342	1.9335	0.6786	0.645
709	H3E2S3	0.001	32	4	0.2	1	0.5	96.log	1.6525	0.809	0.8521	1.7805	0.6224	0.5696
708	H1E1S3	0.0001	64	3	0.1	1	1	100.log	0.9662	0.8203	0.7475	3.4448	0.5327	0.5509
706	H3E2S2	0.001	64	2	0.1	1	1	98.log	1.3579	0.7041	0.7113	1.6351	0.5465	0.5049
