graph num,val_loss,val_roc,val_ap,test_loss,test_roc,test_ap
470,2.1079,0.7569,0.7622,2.1086,0.6753,0.7215
321,2.1739,0.6166,0.61,1.8207,0.6151,0.5984
718,1.7511,0.605,0.5745,1.7546,0.5913,0.6054
719,1.7511,0.605,0.5745,1.7546,0.5913,0.6054
576,1.9809,0.5323,0.5878,1.9773,0.5842,0.5695
577,1.9809,0.5323,0.5878,1.9773,0.5842,0.5695
625,1.8959,0.5115,0.52,1.8963,0.5835,0.6467
339,2.2908,0.5053,0.5393,2.214,0.5789,0.565
712,1.9184,0.5981,0.6976,1.9484,0.572,0.5788
258,1.98,0.4957,0.5256,1.9798,0.5706,0.5891
720,1.9003,0.5384,0.5462,1.8989,0.5683,0.5738
22,2.2536,0.5362,0.5302,2.2536,0.5662,0.5561
242,1.9795,0.5524,0.5624,1.9789,0.565,0.5727
554,1.9461,0.589,0.6274,1.9459,0.5608,0.6165
208,1.9795,0.5161,0.5259,1.9793,0.5587,0.5686
241,1.9796,0.5187,0.5284,1.9793,0.558,0.5646
637,1.9781,0.4513,0.4588,1.9786,0.558,0.5542
571,1.9424,0.5278,0.5497,1.9339,0.5551,0.5655
254,1.9796,0.5186,0.528,1.9793,0.5516,0.5569
639,2.0171,0.5079,0.5331,2.0185,0.5508,0.5317
638,2.0171,0.5079,0.5331,2.0185,0.5508,0.5317
716,2.0475,0.5256,0.5184,2.0466,0.5506,0.5392
209,1.9768,0.5175,0.5272,1.9765,0.5479,0.55
30,2.2533,0.5351,0.533,2.2531,0.5468,0.5296
95,2.0512,0.5,0.5876,2.0459,0.5463,0.554
264,1.9788,0.5166,0.5254,1.9785,0.5455,0.5472
304,1.9011,0.5011,0.5055,1.9001,0.5452,0.5745
98,2.0188,0.5294,0.5317,2.0188,0.5445,0.5466
99,2.0188,0.5294,0.5317,2.0188,0.5445,0.5466
33,2.2536,0.5301,0.5231,2.2535,0.5439,0.5264
227,2.0373,0.5198,0.5434,1.9489,0.543,0.5391
633,1.8422,0.4876,0.4856,1.8403,0.5427,0.5546
199,1.9784,0.5174,0.5265,1.9781,0.5415,0.542
220,1.977,0.5265,0.545,1.9767,0.5413,0.5412
578,1.8387,0.5756,0.5733,1.841,0.5406,0.5449
259,1.9357,0.515,0.5342,1.9161,0.5398,0.5342
266,1.9748,0.5148,0.5241,1.9744,0.5397,0.5392
221,2.0342,0.522,0.5437,1.9479,0.5385,0.5291
206,1.9134,0.5195,0.5449,1.9105,0.5382,0.5442
247,2.0525,0.5173,0.5419,1.9469,0.5379,0.5308
252,2.0342,0.5237,0.5492,1.9479,0.5377,0.5285
31,2.2533,0.5324,0.5291,2.2531,0.5376,0.5192
226,1.9748,0.5209,0.5435,1.9254,0.5374,0.5258
272,2.0018,0.5208,0.5453,1.9356,0.5374,0.5276
218,2.0252,0.5191,0.5387,1.9447,0.5371,0.5275
245,2.01,0.5167,0.5324,1.9388,0.5371,0.5268
84,1.9271,0.5407,0.5787,1.9271,0.537,0.5367
274,1.9451,0.5155,0.5363,1.9165,0.5366,0.5241
235,1.9818,0.5145,0.5295,1.928,0.5361,0.5225
283,1.9629,0.5214,0.535,1.962,0.536,0.5325
275,1.9357,0.5153,0.5386,1.9161,0.5353,0.5262
260,2.0125,0.5183,0.5401,1.9398,0.5349,0.5228
105,1.7623,0.5246,0.5196,1.7279,0.5347,0.5362
248,1.9392,0.5197,0.5329,1.9348,0.5346,0.5321
224,1.9451,0.5148,0.5301,1.9165,0.5345,0.5216
317,1.8444,0.516,0.5412,1.8434,0.5344,0.5373
340,2.0901,0.398,0.4266,2.0896,0.5343,0.5337
353,1.9008,0.5082,0.5628,1.8648,0.534,0.5619
354,1.9007,0.5083,0.563,1.867,0.5338,0.5597
351,1.9008,0.5082,0.5627,1.8637,0.5338,0.5594
355,1.9009,0.5081,0.5625,1.8625,0.5337,0.5593
36,1.981,0.5467,0.5567,1.981,0.5336,0.5335
246,2.0505,0.5192,0.5427,1.9514,0.5336,0.5204
197,2.0284,0.5208,0.5409,1.9458,0.5335,0.5194
27,2.2535,0.5372,0.5318,2.2534,0.5333,0.5167
8,2.2536,0.5288,0.5249,2.2536,0.5333,0.5161
222,2.0112,0.5202,0.5396,1.9393,0.5333,0.5203
86,2.2409,0.538,0.5502,2.2382,0.5331,0.5251
93,2.2409,0.538,0.5502,2.2382,0.5331,0.5251
87,2.2409,0.538,0.5502,2.2382,0.5331,0.5251
85,2.2409,0.538,0.5502,2.2382,0.5331,0.5251
90,2.2409,0.538,0.5502,2.2382,0.5331,0.5251
94,2.2409,0.5364,0.5463,2.2382,0.5331,0.5254
83,2.2409,0.5364,0.5463,2.2382,0.5331,0.5254
201,1.9393,0.5199,0.5394,1.9158,0.5331,0.5221
570,1.8412,0.5556,0.5931,1.8403,0.533,0.556
588,1.9072,0.5274,0.5618,1.9288,0.5329,0.5391
10,2.2483,0.5312,0.5331,2.2446,0.5328,0.5137
213,1.9322,0.5173,0.5318,1.9185,0.5325,0.5275
335,1.8444,0.5149,0.54,1.8434,0.5323,0.5327
198,2.0314,0.5167,0.5313,1.947,0.532,0.5169
279,1.9519,0.5199,0.541,1.918,0.5319,0.5175
207,2.0373,0.5215,0.5438,1.9489,0.5318,0.5174
645,1.7189,0.5473,0.5449,1.7495,0.5317,0.517
352,1.9052,0.5079,0.5618,1.8425,0.5314,0.5607
273,2.0214,0.5222,0.5459,1.9433,0.5312,0.5146
277,2.0508,0.5221,0.5468,1.9513,0.5312,0.5137
50,1.9812,0.5479,0.5581,1.9813,0.5309,0.5299
13,2.2441,0.5269,0.5269,2.2371,0.5304,0.5109
341,1.7735,0.5062,0.4902,1.7858,0.5304,0.5499
347,1.7729,0.5062,0.4904,1.7846,0.5304,0.5523
262,2.0006,0.5187,0.5352,1.9352,0.5302,0.5163
38,1.9812,0.5463,0.5574,1.9812,0.5301,0.5284
11,2.2531,0.534,0.5299,2.2527,0.5301,0.5114
203,1.9761,0.524,0.5499,1.9259,0.53,0.5146
26,2.2532,0.5408,0.5375,2.2529,0.5298,0.5103
40,1.9807,0.5412,0.5482,1.9806,0.529,0.5273
342,1.776,0.5066,0.4913,1.7908,0.529,0.5523
344,1.776,0.5063,0.4901,1.7908,0.529,0.5523
567,1.8578,0.5208,0.605,1.9327,0.5289,0.5237
9,2.2536,0.5338,0.5274,2.2536,0.5288,0.5123
422,1.9084,0.5284,0.5595,1.8778,0.5288,0.5305
700,1.9796,0.5193,0.5362,1.9798,0.5288,0.5384
312,2.0191,0.5922,0.602,2.0187,0.5286,0.5414
337,2.0191,0.5922,0.602,2.0187,0.5286,0.5414
12,2.2536,0.5477,0.5434,2.2536,0.5286,0.5125
25,2.2536,0.5519,0.5442,2.2536,0.5284,0.512
237,1.9564,0.5191,0.5416,1.9193,0.5284,0.5117
20,2.2534,0.5378,0.5344,2.2532,0.5283,0.5111
48,1.9794,0.5469,0.5598,1.9791,0.5282,0.529
59,1.9366,0.569,0.5935,1.9832,0.528,0.5257
60,1.9025,0.5268,0.5398,1.9026,0.5275,0.5462
49,1.9812,0.5446,0.5512,1.9812,0.5272,0.5245
346,1.7776,0.5062,0.4894,1.7936,0.5272,0.5482
343,1.7776,0.5067,0.4914,1.7936,0.527,0.5444
587,1.9444,0.5684,0.677,1.9445,0.5269,0.5933
47,1.9812,0.5422,0.5483,1.9813,0.5269,0.5229
7,2.2536,0.534,0.5269,2.2536,0.5267,0.5102
281,1.9346,0.5204,0.5359,1.9277,0.5266,0.5177
96,2.1169,0.5173,0.5205,2.1171,0.5264,0.5184
846,1.8986,0.5969,0.653,1.8991,0.5261,0.5249
81,2.0487,0.5298,0.5379,2.0487,0.5261,0.524
19,2.02,0.5618,0.5896,2.02,0.526,0.5286
137,1.8423,0.4918,0.5012,1.8405,0.526,0.5169
451,1.8576,0.5215,0.5205,1.8646,0.5256,0.5218
265,2.0112,0.5168,0.5373,1.9393,0.5251,0.5071
45,1.9811,0.5453,0.5594,1.9812,0.525,0.5202
61,2.0124,0.5792,0.5946,2.0164,0.5246,0.5355
