Graph num	Num Nodes	Num Edges	Density	Number of Self Loops	Node Connectivity	Avg Clustering Coeff	Diameter	Degree Assortativity	Is Bipartite	LR	H dim	H copies	E dim	E copies	S dim	S copies	Num Triangles	Dist Range	Dist Diff from Mean	Dist Diff from Next Best	Dist Diff from Euclidean	% Dist Diff From Euclidean	Best Euclidean Distortion	Best Overall Distortion
375	91	173	0.04224664224664225	0	1	0.36980359450498	8	-0.460616104929416	0	1.0	12.0	2	12.0	3	12.0	3	109	0.3236	-0.020485714285714295	-0.000899999999999998	0.019799999999999998	35.74007220216606	0.0554	0.0356
368	165	428	0.03163340724316334	0	1	0.41940876838649743	8	-0.4589147692068438	0	1.0	16.0	3	16.0	3	16.0	0	387	0.5357	-0.14046587301587304	-0.0005000000000000004	0.012499999999999997	17.70538243626062	0.0706	0.0581
31	151	482	0.042560706401766006	0	1	0.3270655849021109	6	-0.2871497916049049	0	1.0	16.0	3	16.0	3	16.0	0	596	0.45899999999999996	-0.11022142857142857	-9.999999999998899e-05	0.011499999999999996	15.11169513797634	0.0761	0.0646
479	21	32	0.1523809523809524	0	1	0.3424036281179138	5	-0.3055948293274086	0	1.0	12.0	2	12.0	3	12.0	3	12	0.6035	-0.14422261904761907	-0.0010000000000000009	0.0194	43.49775784753363	0.0446	0.0252
302	116	646	0.09685157421289356	0	2	0.7940345394377756	4	-0.4357618115659774	0	0.1	11.0	3	11.0	3	11.0	3	1533	0.3177	-0.06490198412698413	-0.0006999999999999923	0.008899999999999991	11.014851485148505	0.0808	0.0719
306	110	273	0.04553794829024187	0	1	0.6991490593492693	9	-0.4106429451798197	0	1.0	14.0	3	14.0	2	14.0	2	233	0.5969	-0.17196944444444445	-0.00030000000000000165	0.0138	26.900584795321635	0.0513	0.0375
405	63	162	0.08294930875576037	0	1	0.5866153898244996	8	-0.12396676474511611	0	1.0	14.0	2	14.0	2	14.0	3	130	0.54	-0.16191269841269842	-0.0003999999999999976	0.0224	45.07042253521127	0.0497	0.0273
45	135	383	0.04234383637368712	0	1	0.40412769567244966	7	-0.41835886225433716	0	1.0	11.0	3	11.0	3	11.0	3	314	0.4977	-0.1307892857142857	-0.000900000000000005	0.012400000000000001	16.621983914209117	0.0746	0.0622
421	61	119	0.06502732240437159	0	1	0.34011411608158076	6	-0.40704443021266506	0	1.0	12.0	3	12.0	2	12.0	3	81	0.5714	-0.14803611111111112	-0.0003999999999999976	0.020999999999999998	39.25233644859813	0.0535	0.0325
60	90	213	0.05318352059925094	0	1	0.5770925982754699	4	-0.5772478863053432	0	1.0	14.0	3	14.0	1	14.0	3	186	0.5184	-0.0988722222222222	-0.0010000000000000009	0.014799999999999994	23.052959501557623	0.0642	0.0494
224	53	343	0.24891146589259797	0	3	0.26783142704582646	5	0.05241945129335968	0	0.1	11.0	3	11.0	3	11.0	3	602	0.2303	-0.06098373015873017	-0.0015000000000000013	0.008	14.705882352941178	0.0544	0.0464
247	53	343	0.24891146589259797	0	3	0.26783142704582646	5	0.05241945129335968	0	0.1	11.0	3	11.0	3	11.0	3	602	0.2304	-0.06098492063492062	-0.0015999999999999973	0.008099999999999996	14.889705882352935	0.0544	0.0463
575	29	78	0.1921182266009852	0	1	0.535216915351848	5	-0.45807070081525664	0	1.0	16.0	3	16.0	0	16.0	3	93	0.4263	-0.08379880952380953	-0.00030000000000000165	0.018300000000000004	31.44329896907217	0.0582	0.0399
201	53	343	0.24891146589259797	0	3	0.26783142704582646	5	0.05241945129335968	0	0.1	11.0	3	11.0	3	11.0	3	602	0.2304	-0.06111904761904762	-0.0015999999999999973	0.008099999999999996	14.889705882352935	0.0544	0.0463
295	94	492	0.11256005490734386	0	2	0.7929920448506095	3	-0.484450059154528	0	1.0	20.0	1	20.0	1	20.0	3	1059	0.3138	-0.05799603174603174	-0.00019999999999999185	0.0087	11.950549450549449	0.0728	0.0641
541	112	203	0.03265765765765766	0	1	0.3764434007868882	11	-0.18987508850167073	0	1.0	11.0	3	11.0	3	11.0	3	99	0.6494	-0.2070686507936508	-9.99999999999994e-05	0.0204	41.04627766599598	0.0497	0.0293
622	8	10	0.35714285714285715	0	1	0.5	3	-0.31782945736434104	0	1.0	12.0	2	12.0	3	12.0	3	3	113.7585	-0.579738492063492	-0.00019999999999999998	0.0094	92.15686274509804	0.0102	0.0008
411	86	194	0.05307797537619699	0	1	0.47456577800359395	8	-0.2817640141254943	0	1.0	14.0	2	14.0	2	14.0	3	135	0.5785	-0.18121	-0.0011999999999999997	0.016099999999999996	29.595588235294112	0.0544	0.0383
360	165	428	0.03163340724316334	0	1	0.41940876838649743	8	-0.4589147692068438	0	1.0	16.0	3	16.0	3	16.0	0	387	0.5357	-0.14046587301587304	-0.0005000000000000004	0.012499999999999997	17.70538243626062	0.0706	0.0581
843	11	19	0.34545454545454546	0	1	0.3575757575757576	3	-0.2759462759462759	0	1.0	25.0	1	25.0	2	25.0	1	8	0.5044	-0.09925119047619049	-0.00030000000000000165	0.006600000000000002	12.336448598130845	0.0535	0.0469
458	62	142	0.0750925436277102	0	1	0.8743787837715732	5	-0.6220897178118283	0	1.0	16.0	3	16.0	3	16.0	0	113	0.5206000000000001	-0.09934841269841269	-0.0002999999999999982	0.0133	37.35955056179775	0.0356	0.0223
265	53	343	0.24891146589259797	0	3	0.26783142704582646	5	0.05241945129335968	0	0.1	11.0	3	11.0	3	11.0	3	602	0.2304	-0.060984920634920635	-0.0015999999999999973	0.008099999999999996	14.889705882352935	0.0544	0.0463
334	110	273	0.04553794829024187	0	1	0.6991490593492693	9	-0.4106429451798197	0	1.0	14.0	3	14.0	2	14.0	2	233	0.335	-0.038684027777777776	-0.00030000000000000165	0.0138	26.900584795321635	0.0513	0.0375
721	6	9	0.6	0	1	0.9	2	-0.36363636363636365	0	1.0	33.0	1	33.0	1	33.0	1	5	9999999999.994	-165975116.81886017	-0.00010000000000000026	0.003299999999999999	35.48387096774193	0.0093	0.006
624	15	55	0.5238095238095238	0	2	0.8244444444444446	3	0.18477716574862293	0	1.0	16.0	3	16.0	1	16.0	2	96	0.3276	-0.07374166666666668	-0.0006000000000000033	0.005700000000000004	12.694877505567936	0.0449	0.0392
322	110	273	0.04553794829024187	0	1	0.6991490593492693	9	-0.4106429451798197	0	1.0	14.0	3	14.0	2	14.0	2	233	0.5969	-0.17196944444444445	-0.00030000000000000165	0.0138	26.900584795321635	0.0513	0.0375
555	82	151	0.04546823246010238	0	1	0.352621530555286	5	-0.43115215572097654	0	1.0	11.0	3	11.0	3	11.0	3	96	0.5726	-0.12606944444444443	-0.00040000000000000105	0.0212	43.353783231083845	0.0489	0.0277
