Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
395	H0E1S0	0.01	16	2	0.2	1	0	100.log	2.6095	0.4400	0.5943	1.8837	0.4380	0.4736
332	H0E1S0	0.001	64	2	0.1	1	0	100.log	2.8172	0.6016	0.6303	2.5132	0.5842	0.6044
799	H0E1S0	0.0001	32	2	0.2	1	0	100.log	2.2538	0.8715	0.8834	2.2538	0.8090	0.7478
1474	H0E1S0	0.001	64	4	0.2	1	0	100.log	2.2539	1.0000	1.0000	2.2539	0.1875	0.4226
1610	H0E1S0	0.001	64	4	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2538	0.7778	0.6944
1583	H0E1S0	0.0001	16	4	0.2	1	0	100.log	2.2538	0.4797	0.4949	2.2538	0.4769	0.5019
1561	H0E1S0	0.01	32	3	0.2	1	0	100.log	2.0234	0.8296	0.8225	2.2546	0.8004	0.7930
5	H0E1S0	0.001	16	3	0.1	0	0	100.log	2.2524	0.7500	0.8117	2.2525	0.6361	0.6688
1511	H0E1S0	0.001	32	4	0.2	0	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.5000
1517	H0E1S0	0.01	64	4	0.1	1	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.5000
777	H0E1S0	0.001	32	2	0.1	1	0	100.log	2.2533	0.2188	0.3980	2.2499	0.3770	0.4668
1740	H0E1S0	0.0001	32	4	0.2	0	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.5000
788	H0E1S0	0.01	32	3	0.2	1	0	100.log	2.2129	0.5720	0.5846	2.5109	0.5362	0.5552
584	H0E1S0	0.0001	16	4	0.2	1	0	100.log	2.0273	1.0000	1.0000	2.7390	0.0000	0.3833
268	H0E1S0	0.01	32	2	0.2	0	0	100.log	2.2684	0.5123	0.5024	2.3559	0.4602	0.4624
1633	H0E1S0	0.001	32	2	0.2	0	0	100.log	2.2532	1.0000	1.0000	2.2534	0.7500	0.8333
736	H0E1S0	0.0001	16	2	0.2	0	0	100.log	2.2471	0.7628	0.7269	2.2474	0.7600	0.7248
565	H0E1S0	0.001	32	4	0.1	0	0	100.log	2.2538	1.0000	1.0000	2.2538	0.9259	0.8702
1438	H0E1S0	0.01	64	3	0.1	1	0	100.log	1.7354	0.6531	0.7304	2.2559	0.4439	0.4738
362	H0E1S0	0.01	16	2	0.1	1	0	100.log	2.2539	1.0000	1.0000	2.2538	0.7500	0.6667
690	H0E1S0	0.01	32	3	0.2	1	0	100.log	2.2491	0.6111	0.6312	2.2505	0.6298	0.6059
1300	H0E1S0	0.001	16	3	0.2	1	0	100.log	2.2398	0.8099	0.7557	2.2415	0.5709	0.5987
481	H0E1S0	0.0001	16	3	0.2	1	0	100.log	2.2538	1.0000	1.0000	2.2538	0.8200	0.7529
699	H0E1S0	0.01	16	4	0.2	0	0	100.log	2.2538	0.4000	0.4568	2.2538	0.3884	0.5466
1277	H0E1S0	0.01	16	4	0.2	0	0	100.log	1.4746	1.0000	1.0000	2.8623	0.3438	0.4750
251	H0E1S0	0.01	32	2	0.2	1	0	100.log	1.9376	0.6937	0.6466	1.9255	0.6905	0.6389
314	H0E1S0	0.001	64	3	0.2	1	0	100.log	1.8773	0.6472	0.6216	1.9653	0.5849	0.5819
817	H0E1S0	0.01	32	4	0.1	0	0	100.log	2.2066	1.0000	1.0000	2.2321	0.5000	0.7500
1048	H0E1S0	0.01	16	4	0.2	0	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.5000
1212	H0E1S0	0.01	64	4	0.2	0	0	100.log	1.9865	1.0000	1.0000	4.7430	0.0000	0.4167
18	H0E1S0	0.0001	16	4	0.2	1	0	100.log	2.2538	0.7167	0.6407	2.2538	0.6568	0.5936
1131	H0E1S0	0.01	64	2	0.2	1	0	100.log	2.2539	0.5000	0.5000	2.2539	0.4836	0.7765
920	H0E1S0	0.0001	32	2	0.1	0	0	100.log	2.2539	1.0000	1.0000	2.9028	0.3889	0.5000
1362	H0E1S0	0.01	32	2	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2538	0.9259	0.8702
1306	H0E1S0	0.001	32	4	0.2	0	0	100.log	2.2528	1.0000	1.0000	2.2530	1.0000	1.0000
1631	H0E1S0	0.001	16	3	0.2	0	0	100.log	2.2527	1.0000	1.0000	1.3981	0.7778	0.8667
614	H0E1S0	0.001	32	3	0.2	1	0	100.log	1.6488	0.6154	0.5335	1.8349	0.5803	0.5257
535	H0E1S0	0.01	32	3	0.1	1	0	100.log	2.7164	0.7500	0.8333	1.8294	0.5800	0.5644
406	H0E1S0	0.01	64	2	0.1	1	0	100.log	4.0337	0.4607	0.4502	3.7194	0.4225	0.4265
1495	H0E1S0	0.0001	32	2	0.2	0	0	100.log	2.2537	1.0000	1.0000	2.2537	0.7500	0.7500
1092	H0E1S0	0.001	16	2	0.2	1	0	100.log	2.2509	0.6875	0.6478	2.2521	0.3867	0.4404
594	H0E1S0	0.001	64	2	0.1	1	0	100.log	2.2539	1.0000	1.0000	2.2539	0.0000	0.4167
932	H0E1S0	0.01	32	2	0.2	0	0	100.log	0.7264	1.0000	1.0000	1.8266	0.4297	0.4756
