Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
332	H0E1S0	0.01	64	3	0.2	0	0	100.log	3.8712	0.5752	0.6035	3.7940	0.5674	0.5592
799	H0E1S0	0.0001	16	2	0.2	0	0	100.log	2.2514	0.8727	0.8124	2.2505	0.8867	0.8320
1474	H0E1S0	0.001	32	4	0.1	1	0	100.log	2.2539	0.8987	0.8570	2.2539	0.8523	0.7977
1610	H0E1S0	0.0001	64	3	0.1	0	0	100.log	2.2488	0.8771	0.8107	2.2484	0.8911	0.8319
1583	H0E1S0	0.0001	64	4	0.1	0	0	100.log	2.2539	0.9339	0.8867	2.2539	0.9383	0.8924
1561	H0E1S0	0.001	32	2	0.2	1	0	100.log	2.2517	0.8335	0.8217	2.2518	0.8077	0.7967
5	H0E1S0	0.001	32	4	0.2	1	0	100.log	2.2539	0.8987	0.8570	2.2539	0.8523	0.7977
1511	H0E1S0	0.01	64	2	0.1	0	0	100.log	1.4581	0.8647	0.8082	1.4202	0.8730	0.8164
1517	H0E1S0	0.0001	32	3	0.2	0	0	100.log	2.2536	0.8742	0.8220	2.2536	0.8612	0.7980
777	H0E1S0	0.01	16	4	0.1	1	0	100.log	2.2538	0.8295	0.8115	2.2538	0.7969	0.7815
1740	H0E1S0	0.0001	64	2	0.1	0	0	100.log	0.4652	0.9349	0.8882	0.4253	0.9377	0.8925
788	H0E1S0	0.0001	16	2	0.2	0	0	100.log	1.1367	0.8628	0.8117	1.0719	0.8753	0.8376
584	H0E1S0	0.001	32	3	0.1	1	0	100.log	2.2537	0.8381	0.8391	2.2537	0.8314	0.8303
268	H0E1S0	0.0001	16	4	0.2	0	0	100.log	2.2539	0.5284	0.5152	2.2539	0.5072	0.5038
1633	H0E1S0	0.001	16	2	0.1	1	0	100.log	2.2539	0.8987	0.8570	2.2539	0.8523	0.7977
736	H0E1S0	0.01	32	4	0.2	0	0	100.log	1.4872	0.7633	0.7166	1.5126	0.7612	0.7122
565	H0E1S0	0.0001	64	4	0.2	0	0	100.log	2.2535	0.8652	0.8617	2.2535	0.8903	0.8872
1438	H0E1S0	0.0001	32	4	0.2	1	0	100.log	2.1331	0.9352	0.8882	2.1324	0.9381	0.8928
362	H0E1S0	0.001	64	3	0.2	1	0	100.log	2.2531	0.8385	0.8452	2.2530	0.8309	0.8573
690	H0E1S0	0.0001	64	2	0.2	0	0	100.log	2.2528	0.8676	0.8171	2.2531	0.8493	0.7915
1300	H0E1S0	0.01	16	4	0.2	1	0	100.log	2.2538	0.9347	0.8871	2.2538	0.9388	0.8926
481	H0E1S0	0.0001	64	4	0.1	1	0	100.log	2.2418	0.9348	0.8877	2.2417	0.9381	0.8924
699	H0E1S0	0.0001	32	3	0.1	0	0	100.log	0.7804	0.8778	0.7998	0.8890	0.8506	0.7628
1277	H0E1S0	0.001	64	2	0.2	1	0	100.log	2.2140	0.8367	0.8571	2.2241	0.6711	0.7371
251	H0E1S0	0.01	64	2	0.1	0	0	100.log	2.2657	0.6859	0.6366	2.2140	0.6853	0.6274
