Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
395	H0E1S0	0.01	32	4	0.1	1	0	100.log	1.5617	0.6800	0.6544	2.0044	0.4380	0.4782
332	H0E1S0	0.001	16	3	0.1	1	0	100.log	2.2521	0.6034	0.6114	2.2521	0.5985	0.5986
799	H0E1S0	0.001	64	2	0.2	1	0	100.log	2.2471	0.9236	0.9601	2.2471	0.7760	0.7344
1474	H0E1S0	0.0001	16	3	0.2	1	0	100.log	2.2366	1.0000	1.0000	2.2425	0.5556	0.7222
1610	H0E1S0	0.001	64	4	0.1	1	0	100.log	2.2537	1.0000	1.0000	2.2537	0.7778	0.6944
1583	H0E1S0	0.01	16	3	0.1	0	0	100.log	2.2489	0.5060	0.4950	2.2510	0.4812	0.4941
1561	H0E1S0	0.01	64	4	0.1	1	0	100.log	1.6713	0.8277	0.8196	1.8595	0.7992	0.7896
5	H0E1S0	0.0001	32	3	0.1	0	0	100.log	2.2484	0.7600	0.8576	2.2501	0.5692	0.6010
1511	H0E1S0	0.01	32	3	0.2	0	0	100.log	2.2539	0.5000	0.6667	2.2538	0.4000	0.4800
1517	H0E1S0	0.0001	16	4	0.1	0	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.5000
777	H0E1S0	0.001	16	4	0.1	1	0	100.log	2.2538	0.2031	0.3959	2.2537	0.4355	0.4806
1740	H0E1S0	0.0001	32	4	0.2	0	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.5000
788	H0E1S0	0.01	64	4	0.1	1	0	100.log	1.9297	0.5429	0.5312	2.2222	0.5417	0.5374
584	H0E1S0	0.0001	16	4	0.2	1	0	100.log	1.8329	1.0000	1.0000	2.9738	0.0000	0.3833
268	H0E1S0	0.01	16	3	0.2	0	0	100.log	2.8572	0.4766	0.4864	3.3181	0.4417	0.4582
1633	H0E1S0	0.001	32	2	0.2	0	0	100.log	2.2292	1.0000	1.0000	2.2207	1.0000	1.0000
736	H0E1S0	0.01	64	2	0.2	1	0	100.log	3.0378	0.7558	0.7090	3.0272	0.7553	0.7018
565	H0E1S0	0.0001	16	3	0.2	1	0	100.log	2.2538	1.0000	1.0000	2.2539	0.2222	0.4444
1438	H0E1S0	0.01	16	3	0.1	0	0	100.log	1.4299	0.7143	0.7885	2.1942	0.3929	0.4438
362	H0E1S0	0.01	16	2	0.1	1	0	100.log	2.2538	1.0000	1.0000	2.2535	0.6250	0.5833
690	H0E1S0	0.01	64	3	0.1	0	0	100.log	1.6133	0.6372	0.6327	1.9230	0.6315	0.5896
1300	H0E1S0	0.01	16	4	0.1	0	0	100.log	1.7726	0.8099	0.7656	3.2078	0.6078	0.6126
481	H0E1S0	0.0001	16	3	0.2	1	0	100.log	2.2526	1.0000	1.0000	2.2529	0.7600	0.6862
699	H0E1S0	0.01	32	3	0.1	1	0	100.log	6.5411	0.4000	0.4667	3.3796	0.6942	0.6991
1277	H0E1S0	0.01	32	3	0.1	0	0	100.log	2.2532	1.0000	1.0000	2.2534	0.5000	0.7500
251	H0E1S0	0.001	16	2	0.1	0	0	100.log	2.2507	0.6882	0.6466	2.2508	0.6872	0.6417
314	H0E1S0	0.01	64	2	0.1	0	0	100.log	2.2243	0.7055	0.6791	2.8830	0.5790	0.5667
817	H0E1S0	0.01	32	4	0.1	0	0	100.log	1.9970	1.0000	1.0000	2.0846	0.5000	0.7500
1048	H0E1S0	0.01	32	4	0.2	1	0	100.log	2.2539	0.5000	0.5000	2.2539	0.3000	0.4139
1212	H0E1S0	0.01	64	4	0.2	0	0	100.log	2.0415	1.0000	1.0000	3.7570	0.0000	0.4167
18	H0E1S0	0.0001	32	4	0.1	0	0	100.log	2.2538	0.7073	0.6344	2.2537	0.6714	0.6017
1131	H0E1S0	0.01	32	4	0.2	1	0	100.log	2.2539	0.5000	0.5000	2.2539	0.5000	0.7821
920	H0E1S0	0.001	64	3	0.1	1	0	100.log	1.3246	1.0000	1.0000	2.1803	0.5625	0.6042
