Graph #	Manifold	LR	Dim	Num Layers	Dropout	Bias	C	Total Dim	Val Loss	Val ROC	Val AP	Test Loss	Test ROC	Test AP
1301	H0E3S2	0.0001	64	2	0.2	1	0.5	102.log	0.7979	0.9444	0.9167	5.3963	0.5833	0.6905
1374	H0E3S3	0.01	16	3	0.1	1	1	99.log	1.5706	0.7778	0.8333	1.5706	0.7222	0.6667
1426	H0E3S2	0.01	16	3	0.2	0	2	102.log	0.9813	0.9200	0.8857	2.7883	0.3638	0.4474
176	H0E3S3	0.0001	64	4	0.1	1	2	99.log	0.9752	0.8333	0.8158	1.6538	0.6567	0.6415
417	H0E3S3	0.01	32	2	0.1	1	1	99.log	1.2676	1.0000	1.0000	1.4311	0.5000	0.5000
589	H0E3S3	0.01	32	4	0.1	1	2	99.log	1.0760	0.8750	0.8333	3.5243	0.3194	0.4089
201	H0E3S3	0.0001	32	4	0.2	0	0.5	99.log	0.9729	1.0000	1.0000	1.3046	0.8000	0.7333
1274	H0E0S3	0.0001	32	3	0.2	0	2	102.log	1.2271	1.0000	1.0000	1.4927	0.6406	0.6074
1094	H0E2S1	0.0001	64	3	0.1	1	0.5	100.log	0.9753	1.0000	1.0000	1.3095	0.8000	0.7100
777	H0E3S2	0.01	16	4	0.2	1	2	102.log	1.1205	0.8333	0.8750	2.2377	0.2812	0.4042
707	H0E3S2	0.0001	16	2	0.2	1	0.5	102.log	1.1059	0.8750	0.8333	3.6639	0.3225	0.4097
62	H0E3S3	0.0001	64	4	0.1	1	1	99.log	1.2401	1.0000	1.0000	1.4247	0.5000	0.5000
1362	H0E1S3	0.01	16	3	0.2	1	1	103.log	1.2676	1.0000	1.0000	1.4311	0.5000	0.5000
171	H0E3S3	0.01	64	3	0.1	1	2	99.log	1.0898	1.0000	1.0000	1.5766	0.6667	0.6389
1680	H0E3S3	0.0001	64	2	0.2	1	0.5	99.log	0.9609	1.0000	1.0000	1.5170	0.6250	0.5688
508	H0E2S3	0.001	32	3	0.1	1	2	103.log	1.0296	0.8750	0.8333	1.9002	0.3750	0.4702
705	H0E3S3	0.001	32	3	0.2	1	2	99.log	1.2050	0.8800	0.8867	2.1689	0.3500	0.4262
1283	H0E2S3	0.0001	16	3	0.1	1	2	103.log	1.0322	1.0000	1.0000	1.5255	0.6094	0.5583
1597	H0E2S2	0.001	32	2	0.1	1	2	102.log	1.0002	1.0000	1.0000	1.3810	0.7100	0.6100
683	H0E1S3	0.01	16	2	0.2	0	2	103.log	1.2050	1.0000	1.0000	1.4748	0.6406	0.6074
1523	H0E2S3	0.0001	64	2	0.1	1	2	103.log	1.3372	1.0000	1.0000	1.4378	0.5000	0.5000
1219	H0E2S3	0.001	16	4	0.2	0	0.5	103.log	0.6945	0.9444	0.9167	4.2646	0.6389	0.7222
1136	H0E1S3	0.0001	64	4	0.1	0	0.5	103.log	0.8198	0.9444	0.9167	3.1259	0.6111	0.6981
416	H0E3S3	0.0001	64	3	0.1	1	0.5	99.log	0.9839	1.0000	1.0000	1.8594	0.3200	0.5171
1051	H0E0S3	0.001	64	4	0.2	1	2	102.log	0.9883	1.0000	1.0000	1.3759	0.7100	0.6100
948	H0E3S3	0.0001	64	4	0.1	1	0.5	99.log	1.0706	1.0000	1.0000	1.5676	0.6667	0.6389
1587	H0E2S3	0.0001	32	3	0.2	0	0.5	103.log	1.2944	1.0000	1.0000	2.0010	0.6044	0.5643
1575	H0E2S2	0.01	16	2	0.2	1	1	102.log	1.1150	1.0000	1.0000	1.6349	0.6667	0.6389
1134	H0E2S3	0.01	64	3	0.2	1	0.5	103.log	0.9518	0.8333	0.8158	3.9804	0.4739	0.5512
1290	H0E3S3	0.001	32	4	0.1	1	2	99.log	1.1380	1.0000	1.0000	1.3746	0.6400	0.5600
